"NUTS3","VAR","Gender","Year","population"
"DEA11","T","Total",2016,612178
"DEA1E","T","Total",2016,297661
"DEB17","T","Total",2016,211925
"DEB3I","T","Total",2016,151546
"DEC05","T","Total",2016,144584
"DED21","T","Total",2016,543825
"DEE0D","T","Total",2016,115262
"DEF06","T","Total",2016,192999
"DEG06","T","Total",2016,101325
"DEG0M","T","Total",2016,92344
"DE11A","T","Total",2016,191614
"DE138","T","Total",2016,280288
"DE265","T","Total",2016,103106
"DE24C","T","Total",2016,66655
"DE271","T","Total",2016,286374
"DE211","T","Total",2016,132438
"DE224","T","Total",2016,116596
"DE228","T","Total",2016,188336
"DE22C","T","Total",2016,94104
"DE218","T","Total",2016,137421
"DE406","T","Total",2016,164528
"DE404","T","Total",2016,167745
"DE932","T","Total",2016,198103
"DE737","T","Total",2016,100715
"DE722","T","Total",2016,253167
"DE94D","T","Total",2016,128608
"DE929","T","Total",2016,1144480
"DEA41","T","Total",2016,333090
"DEA16","T","Total",2016,169278
"DEA26","T","Total",2016,262828
"DEA28","T","Total",2016,191165
"DEA5A","T","Total",2016,280800
"DEB3H","T","Total",2016,110526
"DEE0A","T","Total",2016,141408
"DEF0A","T","Total",2016,128304
"DEG0B","T","Total",2016,124623
"DEG0J","T","Total",2016,86184
"DEG0L","T","Total",2016,101114
"DE129","T","Total",2016,122247
"DE12B","T","Total",2016,196066
"DE268","T","Total",2016,89306
"DE244","T","Total",2016,44660
"DE257","T","Total",2016,134136
"DE251","T","Total",2016,41159
"DE232","T","Total",2016,145465
"DE21C","T","Total",2016,213481
"DE21E","T","Total",2016,117657
"DE216","T","Total",2016,124930
"DE214","T","Total",2016,108485
"DE21G","T","Total",2016,112034
"DE40A","T","Total",2016,207524
"DE713","T","Total",2016,123734
"DE71A","T","Total",2016,232848
"DE945","T","Total",2016,75995
"DE94H","T","Total",2016,57173
"DE937","T","Total",2016,163253
"DE943","T","Total",2016,163830
"DE934","T","Total",2016,50128
"DE911","T","Total",2016,251364
"DE912","T","Total",2016,101079
"DE913","T","Total",2016,124045
"DEA1C","T","Total",2016,483279
"DEA1D","T","Total",2016,450026
"DEB3B","T","Total",2016,127274
"DEC01","T","Total",2016,327380
"DEC04","T","Total",2016,197009
"DEE02","T","Total",2016,236991
"DEF0F","T","Total",2016,239614
"DEG0H","T","Total",2016,56818
"DEG0P","T","Total",2016,125655
"DEG02","T","Total",2016,96011
"DE125","T","Total",2016,156267
"DE127","T","Total",2016,142936
"DE117","T","Total",2016,122567
"DE119","T","Total",2016,110181
"DE12C","T","Total",2016,116233
"DE148","T","Total",2016,279296
"DE26A","T","Total",2016,126123
"DE247","T","Total",2016,86599
"DE234","T","Total",2016,103568
"DE223","T","Total",2016,46806
"DE225","T","Total",2016,78122
"DE402","T","Total",2016,99687
"DE40H","T","Total",2016,163553
"DE734","T","Total",2016,235813
"DE93B","T","Total",2016,134645
"DE94F","T","Total",2016,137866
"DE914","T","Total",2016,174205
"DEA33","T","Total",2016,310039
"DEA46","T","Total",2016,313050
"DEA44","T","Total",2016,144010
"DEA31","T","Total",2016,117143
"DEA18","T","Total",2016,109499
"DEB14","T","Total",2016,156821
"DED2E","T","Total",2016,245244
"DEE06","T","Total",2016,91693
