"NUTS3","GDP_per_capita"
"DEA23",57857
"DEA22",69807
"DEB3D",28104
"DEB3C",21344
"DE40F",24696
"DE923",33348
"DE131",48586
"DEB38",49467
"DE226",31662
"DE224",38140
"DEG01",39367
"DEG0H",26972
"DEG0P",25257
"DEG0M",20875
"DEG07",25275
"DEG09",23292
"DEG0C",26460
"DEG0B",26541
"DEG0G",22298
"DEG0I",24689
"DEG0J",21340
"DEG0K",25559
"DEG0L",21389
"DEG0A",20625
"DEG0N",40716
"DEG0D",23434
"DEG0F",27130
"DEG0E",22557
"DEG06",24623
"DEG05",29021
"DEG02",27190
"DEG04",31091
"DEG03",41476
