"NUTS3","funding_by_region","population","funding_per_capita_germany_aaw","GDP_per_capita","log_funding_per_capita","log_GDP_per_capita","NUTS1_states"
"DE111",520024276.98,623738,833.722295226521,83717,6.72590036756412,11.3351973421864,"DE1"
"DE112",144074985.09,381281,377.870874997705,63435,5.93455253672566,11.0577710385747,"DE1"
"DE113",46961377.99,524127,89.5992345175883,40157,4.4953467766139,10.6005520503801,"DE1"
"DE114",27681058.68,252749,109.519953313366,32703,4.69610675469601,10.3952220957965,"DE1"
"DE115",21887353.99,534074,40.9818751521325,44079,3.71312989950261,10.6937387575441,"DE1"
"DE116",27554749.82,419456,65.6916334967196,33199,4.18497157334387,10.410275033969,"DE1"
"DE117",25318029.74,122567,206.564815488671,52141,5.33061423961063,10.8617068664367,"DE1"
"DE118",8595758.81,334388,25.7059428268957,50856,3.24672220357031,10.8367533886162,"DE1"
"DE119",5509800.36,110181,50.006810248591,46523,3.91215920112491,10.7477020929454,"DE1"
"DE11A",12149874.5,191614,63.408073000929,39168,4.14959118773635,10.575615365872,"DE1"
"DE11B",10029533.98,132181,75.8772741922061,35740,4.32911722180964,10.4840257887134,"DE1"
"DE11C",9607504.63,130527,73.6054964107043,34990,4.29871970243972,10.4628175853617,"DE1"
"DE11D",70942788.9,312650,226.908008635855,40588,5.42454468704592,10.611227735399,"DE1"
"DE121",12781735.59,54160,235.999549298375,52294,5.46382989527114,10.8646369207185,"DE1"
"DE122",107729078.39,307755,350.048182450326,62202,5.85807080915241,11.0381424325512,"DE1"
"DE123",22373698.93,435841,51.3345438588843,35585,3.93836389513405,10.4796794797334,"DE1"
"DE124",8072294.61,227474,35.4866692896771,41646,3.56915711299188,10.6369606045676,"DE1"
"DE125",58800791.37,156267,376.284125055194,53315,5.9303445097714,10.8839729964523,"DE1"
"DE126",67627368.11,305780,221.163477369351,63036,5.39890214466567,11.051461270742,"DE1"
"DE127",7384744.71,142936,51.6646940588795,30103,3.94477464801672,10.3123801135446,"DE1"
"DE128",14467800.27,541859,26.7003044518962,32744,3.28467496803393,10.3964750181722,"DE1"
"DE129",51300020.61,122247,419.642368401679,39800,6.03940284473659,10.5916221912725,"DE1"
"DE12A",8091939.81,155359,52.0854267213357,27482,3.95288519219033,10.2212865238917,"DE1"
"DE12B",1452157.9,196066,7.40647486050616,28961,2.00235459878675,10.2737053762902,"DE1"
"DE12C",9273098.75,116233,79.7802581882942,37107,4.3792760827254,10.5215609100431,"DE1"
"DE131",115154977.99,226393,508.650788628624,48586,6.23176170767328,10.791090702546,"DE1"
"DE132",19933778.36,257343,77.459959509293,28763,4.34976115135594,10.2668451179387,"DE1"
"DE133",12234158.01,162082,75.4812873113609,29824,4.3238847753544,10.3030687174853,"DE1"
"DE134",63813662.43,420106,151.898955097047,38917,5.02321553069095,10.5691864521368,"DE1"
"DE135",11568539.9,137500,84.1348356363636,40977,4.43242069805621,10.620766212671,"DE1"
"DE136",19962812.84,209648,95.220621422575,36874,4.55619652992209,10.5152619746303,"DE1"
"DE137",19414699.38,136606,142.121864193374,46067,4.95668488810433,10.7378521375114,"DE1"
"DE138",37544920.68,280288,133.951224026715,33520,4.89747573388627,10.419897554596,"DE1"
"DE139",20047799.19,226708,88.4300474178238,32188,4.48221181480625,10.379348991266,"DE1"
"DE13A",15577945.21,167861,92.8026474881003,30188,4.53047516835181,10.3151997734048,"DE1"
"DE141",37277126.78,282113,132.13544494582,39079,4.88382749458197,10.573340517293,"DE1"
"DE142",22423626.17,221837,101.08154261913,32642,4.61592754377206,10.3933550817106,"DE1"
"DE143",12548224.14,188595,66.5352959516424,33102,4.19773257304537,10.4073489825005,"DE1"
"DE144",30377919.5,122636,247.708009882906,74745,5.5122506730048,11.2218375993836,"DE1"
"DE145",2723539.57,192104,14.1774224899013,29658,2.65165073377076,10.297487182535,"DE1"
"DE146",25636172.39,194019,132.132277715069,48946,4.88380352471748,10.7984729285829,"DE1"
"DE147",41782006.06,212201,196.898252411629,49118,5.28268711009339,10.8019808453797,"DE1"
"DE148",41894688.88,279296,150.001034314849,41278,5.01064218950481,10.6280849493693,"DE1"
"DE149",18623485.16,130772,142.411870736855,34811,4.95872335741958,10.4576887077701,"DE1"
"DE211",29527908.37,132438,222.956465440433,128100,5.40697653016156,11.7605664878848,"DE2"
"DE212",239259793.74,1450380,164.963522483763,75573,5.10572437360373,11.2328543555198,"DE2"
"DE213",16069052.05,61844,259.832029784619,51252,5.5600353829523,10.8445099206295,"DE2"
"DE214",8586848.68,108485,79.1524052173111,47279,4.37137517395516,10.7638215012641,"DE2"
"DE215",13141137.28,103907,126.470182759583,31751,4.84000657097334,10.3656794998878,"DE2"
"DE216",7165661.8,124930,57.3574145521492,27713,4.04930212121952,10.2296568961614,"DE2"
"DE217",2337485.26,149370,15.6489607016134,27603,2.75040450593841,10.2256797414505,"DE2"
"DE218",4284619.91,137421,31.1787857023308,30862,3.43973791810958,10.3372809326312,"DE2"
"DE219",1653551.47,128805,12.8376341756919,32688,2.55238102705532,10.3947633170574,"DE2"
"DE21A",9069785.41,133747,67.8130007402035,29728,4.21675392789485,10.2998446416136,"DE2"
"DE21B",26663829.3,173225,153.92598816568,50117,5.03647189056345,10.8221155508738,"DE2"
"DE21C",4185780.16,213481,19.6072725910034,25210,2.97590054797563,10.134996020182,"DE2"
"DE21D",8847544.49,87385,101.247862791097,28382,4.61757159752779,10.2535104203945,"DE2"
"DE21E",5223479.93,117657,44.3958279575376,32583,3.79314550010287,10.3915459589481,"DE2"
"DE21F",4931914.82,98286,50.1792200313371,34712,3.91560099740052,10.4548407274782,"DE2"
"DE21G",21973021.01,112034,196.128148687006,32225,5.27876826541511,10.3804978278074,"DE2"
