"NUTS3","funding_by_region","population","funding_per_capita_germany_erdf","GDP_per_capita","log_funding_per_capita","log_GDP_per_capita","NUTS1_states"
"DE111",306840624.26,623738,491.938320673103,83717,6.19835334414796,11.3351973421864,"DE1"
"DE112",6991057,381281,18.3357077850719,63435,2.90885040372732,11.0577710385747,"DE1"
"DE113",10299358.3,524127,19.6505013097971,40157,2.97810284993881,10.6005520503801,"DE1"
"DE114",2771300,252749,10.9646328966682,32703,2.39467490175338,10.3952220957965,"DE1"
"DE115",2854267.48,534074,5.34432958728566,44079,1.67603610860009,10.6937387575441,"DE1"
"DE116",5578634.78,419456,13.2996900270827,33199,2.58774072872173,10.410275033969,"DE1"
"DE117",4433059.34,122567,36.1684575783041,52141,3.58818740138054,10.8617068664367,"DE1"
"DE118",6841000,334388,20.4582700336136,50856,3.0183872033618,10.8367533886162,"DE1"
"DE119",1200000,110181,10.8911699839355,46523,2.38795236771535,10.7477020929454,"DE1"
"DE11A",3607500,191614,18.8269124385483,39168,2.93528735888714,10.575615365872,"DE1"
"DE11B",1031950,132181,7.80709784310907,35740,2.05503329980063,10.4840257887134,"DE1"
"DE11C",2717878.75,130527,20.8223490159124,34990,3.03602688179434,10.4628175853617,"DE1"
"DE11D",44065154.46,312650,140.94084266752,40588,4.94834024679061,10.611227735399,"DE1"
"DE121",5666950,54160,104.633493353028,52294,4.65046370451627,10.8646369207185,"DE1"
"DE122",66122296.56,307755,214.853687381196,62202,5.36995727265784,11.0381424325512,"DE1"
"DE123",13983407.29,435841,32.083735330086,35585,3.4683492141902,10.4796794797334,"DE1"
"DE124",203181.6,227474,0.893208014981932,41646,-0.112935785722391,10.6369606045676,"DE1"
"DE125",34989166.5,156267,223.90630459406,53315,5.41122768128805,10.8839729964523,"DE1"
"DE126",30665347.6,305780,100.285655046112,63036,4.60802266426203,11.051461270742,"DE1"
"DE127",1979962.88,142936,13.8520938042201,30103,2.62843639840723,10.3123801135446,"DE1"
"DE128",3048851.36,541859,5.62665077077247,32744,1.72751437539603,10.3964750181722,"DE1"
"DE129",11878157.2,122247,97.1652245044868,39800,4.57641287486293,10.5916221912725,"DE1"
"DE12A",2865505,155359,18.4444094001635,27482,2.91476131102738,10.2212865238917,"DE1"
"DE12C",4807112.5,116233,41.3575533626423,37107,3.72225507377547,10.5215609100431,"DE1"
"DE131",77260929.1,226393,341.269072365312,48586,5.8326712346526,10.791090702546,"DE1"
"DE132",13639112.88,257343,52.9997430666465,28763,3.97028706574125,10.2668451179387,"DE1"
"DE133",6960401.58,162082,42.9437049147962,29824,3.75989006993021,10.3030687174853,"DE1"
"DE134",36190792.18,420106,86.1468109953202,38917,4.45605294540337,10.5691864521368,"DE1"
"DE135",3602020,137500,26.1965090909091,40977,3.26562616108471,10.620766212671,"DE1"
"DE136",8110641.5,209648,38.6869490765474,36874,3.65550230999569,10.5152619746303,"DE1"
"DE137",11888827,136606,87.0300499246007,46067,4.46625346044943,10.7378521375114,"DE1"
"DE138",22884780.61,280288,81.6473791600068,33520,4.40240972043232,10.419897554596,"DE1"
"DE139",7776788.31,226708,34.303104919103,32188,3.53523587249781,10.379348991266,"DE1"
"DE13A",9414451.24,167861,56.0848037364248,30188,4.02686489769595,10.3151997734048,"DE1"
"DE141",22291441.77,282113,79.0160034099811,39079,4.3696504067614,10.573340517293,"DE1"
"DE142",5643167.52,221837,25.4383512218431,32642,3.23625792590949,10.3933550817106,"DE1"
"DE143",4047562,188595,21.46166123174,33102,3.06626814481881,10.4073489825005,"DE1"
"DE144",8735153.54,122636,71.2282978896898,74745,4.2658901817296,11.2218375993836,"DE1"
"DE145",1469300,192104,7.64846125015617,29658,2.03450448383589,10.297487182535,"DE1"
"DE146",12855065.1,194019,66.2567331034589,48946,4.1935370914525,10.7984729285829,"DE1"
"DE147",32168257.28,212201,151.593334998421,49118,5.02120150785145,10.8019808453797,"DE1"
"DE148",23826045.15,279296,85.3075058361022,41278,4.44626244401568,10.6280849493693,"DE1"
"DE149",13074215,130772,99.9771740127856,34811,4.6049419000607,10.4576887077701,"DE1"
"DE211",19188707.98,132438,144.888234343617,128100,4.97596264757312,11.7605664878848,"DE2"
"DE212",132400572.71,1450380,91.2868163584716,75573,4.51400637803386,11.2328543555198,"DE2"
"DE213",6112917.8,61844,98.844153030205,51252,4.59354439794515,10.8445099206295,"DE2"
"DE214",5797469.02,108485,53.4402822510024,47279,3.97856481085745,10.7638215012641,"DE2"
"DE215",11034795.36,103907,106.198767744233,31751,4.66531250557887,10.3656794998878,"DE2"
"DE216",4145101.66,124930,33.1793937404947,27713,3.50192901275976,10.2296568961614,"DE2"
"DE217",250017.47,149370,1.67381314855727,27603,0.515104346098552,10.2256797414505,"DE2"
"DE218",1881778,137421,13.6935257347858,30862,2.61692314703252,10.3372809326312,"DE2"
"DE219",10958.2,128805,0.0850758899111059,32688,-2.46421159833714,10.3947633170574,"DE2"
"DE21A",3789677,133747,28.3346691888416,29728,3.34408611455225,10.2998446416136,"DE2"
"DE21B",23687293.54,173225,136.742927060182,50117,4.91810271828391,10.8221155508738,"DE2"
"DE21D",5308636.5,87385,60.7499742518739,28382,4.1067666583831,10.2535104203945,"DE2"
"DE21E",2917512.99,117657,24.79676508835,32583,3.21071320467702,10.3915459589481,"DE2"
"DE21F",3062986.07,98286,31.1640118633376,34712,3.43926396314296,10.4548407274782,"DE2"
"DE21G",16195756.09,112034,144.56108047557,32225,4.97370212049214,10.3804978278074,"DE2"
