"NUTS3_Code","Region"
"DE27B","Ostallgäu"
"DE27B|AT331","Ostallgäu|Außerfern"
"DE27B|DE273|DE21D|AT332|AT331","Ostallgäu|Kempten|Garmisch-Partenkirchen|Götzens|Außerfern"
"DE27C","Unterallgäu"
"DE27C|DE273|AT335|AT332","Unterallgäu|Kempten|Tyrolean Unterland|Götzens"
"DE27D","Donau-Ries"
"DE27E","Oberallgäu"
"DE27E|AT331","Oberallgäu|Außerfern"
"DE27E|AT331|AT341","Oberallgäu|Außerfern|Bludenz-Bregenzer Wald"
"DE27E|AT332","Oberallgäu|Götzens"
"DE27E|AT341","Oberallgäu|Bludenz-Bregenzer Wald"
"DE27E|DE138|AT342","Oberallgäu|Konstanz|Rheintal-Bodenseegebiet"
"DE27E|DE21B|AT332","Oberallgäu|Freising|Götzens"
"DE27E|DE273|AT331","Oberallgäu|Kempten|Außerfern"
"DE27E|DE273|AT341|AT342","Oberallgäu|Kempten|Bludenz-Bregenzer Wald|Rheintal-Bodenseegebiet"
"DE27E|DE27A|AT341|AT342","Oberallgäu|Lindau|Bludenz-Bregenzer Wald|Rheintal-Bodenseegebiet"
"DE300","Berlin"
"DE401|DE421","Brandenburg an der Havel"
"DE402|DE422","Cottbus"
"DE403|DE411","Frankfurt (Oder)"
"DE404|DE423","Potsdam"
"DE405|DE412","Barnim District"
"DE406|DE424","Dahme-Spreewald District"
"DE407|DE425","Elbe-Elster District"
"DE408|DE426","Havelland District"
"DE409|DE413","Märkisch-Oderland District"
"DE40A|DE414","Oberhavel District"
"DE40B|DE427","Oberspreewald-Lausitz District"
"DE40C|DE415","Oder-Spree District"
"DE40D|DE416","Ostprignitz-Ruppin District"
"DE40E|DE428","Potsdam-Mittelmark District"
"DE40F|DE417","Prignitz District"
"DE40G|DE429","Spree-Neiße District"
"DE40H|DE42A","Teltow-Fläming District"
"DE40I|DE418","Uckermark District"
"DE40I|DE418|DE80J|PL424|PL428","Uckermark District|Mecklenburgische Seenplatte District|Miasto Szczecin|Szczeciński"
"DE40I|DE418|DE80L|PL424","Uckermark District|Vorpommern-Rügen District|Miasto Szczecin"
"DE40I|DE418|DE80L|PL424|DE405|DE412","Uckermark District|Vorpommern-Rügen District|Miasto Szczecin|Barnim District"
"DE40I|DE418|PL424","Uckermark District|Miasto Szczecin"
"DE40I|DE418|PL427","Uckermark District|Szczecinecko-pyrzycki"
"DE40I|DE418|PL428","Uckermark District|Szczeciński"
"DE40I|DE418|PL428|PL426|DE404|DE423","Uckermark District|Szczeciński|Koszaliński|Potsdam"
"DE40I|DE418|PL428|PL427","Uckermark District|Szczeciński|Szczecinecko-pyrzycki"
"DE40I|DE418|SI041|AT314|AT321|HR033|SK032|DE405|DE412","Uckermark District|Osrednjeslovenska|Steyr-Kirchdorf|Lungau|Zadarska županija|Banská Bystrica Region|Barnim District"
"DE501","Bremen"
"DE502","Bremerhaven"
"DE502|DK042|BE255|NL329|NL124|NO082|DEF02","Bremerhaven|East Jutland|Arrondissement of Ostend|Groot-Amsterdam|Noord-Friesland|Viken|Kiel"
"DE502|UKH14|DK032|BE251|BE255|BE213|NL113|UKH15|UKJ45","Bremerhaven|Suffolk|Southern Jutland|Arrondissement of Bruges|Arrondissement of Ostend|Arrondissement of Turnhout|Overig Groningen|Norwich and East Norfolk|Mid Kent"
"DE600","Hamburg"
"DE711","Darmstadt"
"DE712","Frankfurt"
"DE713","Offenbach am Main"
"DE713|ES412|HU110|HR063|HU211|HU223|PL721|NO082|BE100","Offenbach am Main|Burgos Province|Budapest|Koprivničko-križevačka županija|Fejér|Zala|Kielecki|Viken|Arrondissement of Brussels-Capital"
"DE714","Wiesbaden"
"DE715","Landkreis Bergstraße"
"DE716","Darmstadt-Dieburg"
"DE717","Groß-Gerau"
"DE718","Hochtaunuskreis"
"DE719","Main-Kinzig-Kreis"
"DE71A","Main-Taunus-Kreis"
"DE71B","Odenwald"
"DE71C","Offenbach"
"DE71D","Rheingau-Taunus-Kreis"
"DE71E","Wetteraukreis"
"DE721","Gießen"
"DE722","Lahn-Dill-Kreis"
"DE723","Limburg-Weilburg"
"DE724","Marburg-Biedenkopf"
"DE724|DE224|CZ032","Marburg-Biedenkopf|Deggendorf|Plzeň Region"
"DE725","Vogelsbergkreis"
"DE731","Kassel"
"DE732","Fulda"
"DE733","Hersfeld-Rotenburg"
"DE734","Landkreis Kassel"
"DE734|DEA33|DEA1F|DEA1B|NL329|NL225|NL226|DEA22|DEA11","Landkreis Kassel|Münster|Wesel|Kleve|Groot-Amsterdam|Achterhoek|Arnhem/Nijmegen|Bonn|Düsseldorf"
"DE735","Schwalm-Eder-Kreis"
"DE736","Waldeck-Frankenberg"
"DE737","Werra-Meißner-Kreis"
"DE803","Rostock"
"DE804","Schwerin"
"DE80J","Mecklenburgische Seenplatte District"
"DE80J|DE80L|DE80N|PL424|PL428|PL426|PL427|DE405|DE412","Mecklenburgische Seenplatte District|Vorpommern-Rügen District|Vorpommern-Greifswald District|Miasto Szczecin|Szczeciński|Koszaliński|Szczecinecko-pyrzycki|Barnim District"
"DE80J|PL424","Mecklenburgische Seenplatte District|Miasto Szczecin"
"DE80J|PL426","Mecklenburgische Seenplatte District|Koszaliński"
"DE80K","Rostock District"
"DE80K|DE224|DE223|AT221|BG411|HU110|HU120|HR026|HR050|RO321|RO415|AT130|SK010","Rostock District|Deggendorf|Straubing|Graz-Umgebung District|София (столица)|Budapest|Pest|Vukovarsko-srijemska županija|Grad Zagreb|Bucureşti|Vâlcea|Vienna|Bratislava Region"
"DE80K|DE80L|DE80N|LT023|PL424|PL426|PL636","Rostock District|Vorpommern-Rügen District|Vorpommern-Greifswald District|Klaipėdos apskritis|Miasto Szczecin|Koszaliński|Słupski"
"DE80L","Vorpommern-Rügen District"
"DE80L|DE80N|LT023|PL911|PL424|PL426|PL633","Vorpommern-Rügen District|Vorpommern-Greifswald District|Klaipėdos apskritis|Miasto Warszawa|Miasto Szczecin|Koszaliński|Trójmiejski"
"DE80L|DK022|LT023|PL633|DE803","Vorpommern-Rügen District|Vest- og Sydsjælland|Klaipėdos apskritis|Trójmiejski|Rostock"
"DE80L|LT023|PL426","Vorpommern-Rügen District|Klaipėdos apskritis|Koszaliński"
"DE80M","Nordwestmecklenburg District"
"DE80M|LT023|PL633","Nordwestmecklenburg District|Klaipėdos apskritis|Trójmiejski"
"DE80M|LT023|PL633|DE803","Nordwestmecklenburg District|Klaipėdos apskritis|Trójmiejski|Rostock"
"DE80M|PL424|PL428","Nordwestmecklenburg District|Miasto Szczecin|Szczeciński"
"DE80M|PL426","Nordwestmecklenburg District|Koszaliński"
"DE80N","Vorpommern-Greifswald District"
"DE80N|DE113|PL911|PL424|DE409|DE413","Vorpommern-Greifswald District|Esslingen|Miasto Warszawa|Miasto Szczecin|Märkisch-Oderland District"
"DE80N|DEA34|DEA1B|DEA2D|DEA23|NL332|NL333|NL413|NL414|NL211|NL213|NL221|NL226|DEA11|NL310","Vorpommern-Greifswald District|Borken|Kleve|Aachen cities region|Cologne|Agglomeratie's-Gravenhage|Delft en Westland|Noordoost-Noord-Brabant|Zuidoost-Noord-Brabant|Noord-Overijssel|Twente|Veluwe|Arnhem/Nijmegen|Düsseldorf|Utrecht"
"DE80N|DK014|LT023|PL424|PL426|PL621|PL633","Vorpommern-Greifswald District|Bornholm|Klaipėdos apskritis|Miasto Szczecin|Koszaliński|Elbląski|Trójmiejski"
"DE80N|DK022|LT023|PL633|DE803","Vorpommern-Greifswald District|Vest- og Sydsjælland|Klaipėdos apskritis|Trójmiejski|Rostock"
"DE80N|LT023|PL424|PL428","Vorpommern-Greifswald District|Klaipėdos apskritis|Miasto Szczecin|Szczeciński"
"DE80N|PL424","Vorpommern-Greifswald District|Miasto Szczecin"
"DE80N|PL424|DE405|DE412","Vorpommern-Greifswald District|Miasto Szczecin|Barnim District"
"DE80N|PL424|PL428|PL426|PL427|DE409|DE413","Vorpommern-Greifswald District|Miasto Szczecin|Szczeciński|Koszaliński|Szczecinecko-pyrzycki|Märkisch-Oderland District"
"DE80N|PL426|PL633","Vorpommern-Greifswald District|Koszaliński|Trójmiejski"
"DE80N|PL428|DE300","Vorpommern-Greifswald District|Szczeciński|Berlin"
"DE80N|PL633","Vorpommern-Greifswald District|Trójmiejski"
"DE80N|PL911|PL424|DE300","Vorpommern-Greifswald District|Miasto Warszawa|Miasto Szczecin|Berlin"
"DE80O","Ludwigslust-Parchim District"
"DE80O|PL424","Ludwigslust-Parchim District|Miasto Szczecin"
"DE911","Brunswick"
"DE911|DE936|DE91B|UKH12|UKH11|DK042|BE234|BE213|DK041|NL113|DE300","Brunswick|Osterholz|Wolfenbüttel|Cambridgeshire|Peterborough|East Jutland|Arrondissement of Ghent|Arrondissement of Turnhout|Vestjylland|Overig Groningen|Berlin"
"DE911|DE949|BE256|BE213|NL342|NL221|NO082","Brunswick|Emsland|Arrondissement of Roeselare|Arrondissement of Turnhout|Overig Zeeland|Veluwe|Viken"
"DE911|DE94E|NL226|DEA11","Brunswick|Osnabrück|Arnhem/Nijmegen|Düsseldorf"
"DE912","Salzgitter"
"DE913","Wolfsburg"
"DE914","Gifhorn"
"DE916","Goslar"
"DE917","Helmstedt district"
"DE918","Northeim"
"DE918|UKM64|BE234|BE212|DE91C|DK012|NL333|NL342|UKM62","Northeim|Outer Hebrides|Arrondissement of Ghent|Arrondissement of Mechelen|Göttingen|Københavns omegn|Delft en Westland|Overig Zeeland|Inverness & Nairn and Moray, Badenoch & Strathspey"
"DE91A","Peine"
"DE91B","Wolfenbüttel"
"DE91C","Göttingen"
"DE922","Diepholz"
"DE922|BE212|DK050|NL111|NL124|UKH15","Diepholz|Arrondissement of Mechelen|Nordjylland|Oost-Groningen|Noord-Friesland|Norwich and East Norfolk"
"DE923","Hamelin-Pyrmont"
"DE923|ES418|ES213|BG411|EE008|FRB06|FRE11|PL417|PL415|PL414|BE100|BG322","Hamelin-Pyrmont|Valladolid Province|Biscay|София (столица)|Lõuna-Eesti|Loiret|Nord|Leszczyński|Miasto Poznań|Koniński|Arrondissement of Brussels-Capital|Gabrovo Province"
"DE925","Hildesheim"
"DE926","Holzminden"
"DE927","Landkreis Nienburg/Weser"
"DE928","Schaumburg"
"DE929","Hanover region"
"DE929|IT312|ITD20|ITH20|ES425|BG313|BE100","Hanover region|Trentino|Toledo Province|Враца|Arrondissement of Brussels-Capital"
"DE929|NL423|DEA11","Hanover region|Zuid-Limburg|Düsseldorf"
"DE929|UKI73|DEA51|DEA43|DEA23|DE21L|NL329|NL413|NL211|NL224|FRE11|UKI33|UKJ12|UKI63|DE300|FR101|NL310","Hanover region|London Borough of Ealing|Bochum|Herford|Cologne|Starnberg district|Groot-Amsterdam|Noordoost-Noord-Brabant|Noord-Overijssel|Zuidwest-Gelderland|Nord|Kensington & Chelsea and Hammersmith & Fulham|Milton Keynes|Merton, Kingston upon Thames and Sutton|Berlin|Paris|Utrecht"
"DE931","Celle"
"DE932","Cuxhaven"
"DE933","Harburg"
"DE934","Lüchow-Dannenberg District"
"DE934|DK031|BE235|BE234|BE212|NL33B|UKM77|DE600","Lüchow-Dannenberg District|Funen|Arrondissement of Oudenaarde|Arrondissement of Ghent|Arrondissement of Mechelen|Oost-Zuid-Holland|Perth & Kinross and Stirling|Hamburg"
"DE935","Lüneburg"
"DE935|DEB33|DE132|DE131|FRF11|FRF12","Lüneburg|Landau in der Pfalz|Breisgau-Hochschwarzwald|Freiburg im Breisgau|Bas-Rhin|Haut-Rhin"
"DE936","Osterholz"
"DE937","Rotenburg (Wümme)"
"DE938","Heidekreis"
"DE939","Stade"
"DE93A","Uelzen District"
"DE93B","Verden"
"DE93B|UKJ22|DE734|DE236|BE352|FRB06|NL412|UKE44","Verden|East Sussex|Landkreis Kassel|Neumarkt|Arrondissement of Namur|Loiret|Midden-Noord-Brabant|Calderdale and Kirklees"
"DE941","Delmenhorst"
"DE942","Emden"
"DE942|DE936|DK013|BE255|BE242|DK022|NL211","Emden|Osterholz|North Zealand|Arrondissement of Ostend|Arrondissement of Leuven|Vest- og Sydsjælland|Noord-Overijssel"
"DE942|DE943|DE949|NL113|NL124|NL132","Emden|Oldenburg|Emsland|Overig Groningen|Noord-Friesland|Zuidoost-Drenthe"
"DE942|DE943|DE949|NL124","Emden|Oldenburg|Emsland|Noord-Friesland"
"DE942|DE943|DE949|NL131|NL113","Emden|Oldenburg|Emsland|Noord-Drenthe|Overig Groningen"
"DE942|DE947|DE929|DE94C|DEF0A|DEA46|DEA34|NL112|NL332|NL333|NL33A|NL33B|NL33C|NL414|NL131|NL111|NL113|NL124|NL125|NL132|NL133|NL211|NL213|NL221|NL230|NL321|DE600|DEA12|DE501|NL310","Emden|Aurich|Hanover region|Leer|Plön District|Minden-Lübbecke District|Borken|Delfzijl|Agglomeratie's-Gravenhage|Delft en Westland|Zuidoost-Zuid-Holland|Oost-Zuid-Holland|Groot-Rijnmond|Zuidoost-Noord-Brabant|Noord-Drenthe|Oost-Groningen|Overig Groningen|Noord-Friesland|Zuidwest-Friesland|Zuidoost-Drenthe|Zuidwest-Drenthe|Noord-Overijssel|Twente|Veluwe|Flevoland|Kop van Noord-Holland|Hamburg|Duisburg|Bremen|Utrecht"
"DE942|DE947|DE94C|NL112|NL131|NL113|NL124","Emden|Aurich|Leer|Delfzijl|Noord-Drenthe|Overig Groningen|Noord-Friesland"
"DE942|DK042|DK032|DK031|BE251|BE255|NL111|NL113|UKM50|DE600|NO0A2","Emden|East Jutland|Southern Jutland|Funen|Arrondissement of Bruges|Arrondissement of Ostend|Oost-Groningen|Overig Groningen|Aberdeen City and Aberdeenshire|Hamburg|Vestland"
"DE942|NL131","Emden|Noord-Drenthe"
"DE943","Oldenburg"
"DE943|DE717|DEA35|DEA37|DEA34|DEA33|NL211|NL213|NL221|NL225","Oldenburg|Groß-Gerau|Coesfeld|Steinfurt|Borken|Münster|Noord-Overijssel|Twente|Veluwe|Achterhoek"
"DE943|DE929|DE93A|DE94G|UKK30|DK042|DK032|DEF0B|UKC14|BE231|DK041|DK011|NL131|NL111|NL113|DE501","Oldenburg|Hanover region|Uelzen District|Wesermarsch|Cornwall|East Jutland|Southern Jutland|Rendsburg-Eckernförde|County Durham|District of Aalst|Vestjylland|Byen København|Noord-Drenthe|Oost-Groningen|Overig Groningen|Bremen"
"DE943|DE929|DEA33|DEA1D|NL113|NL213|NL226|NL310","Oldenburg|Hanover region|Münster|Rhine Neuss|Overig Groningen|Twente|Arnhem/Nijmegen|Utrecht"
"DE943|DE944|DE949|NL337|NL411|NL131|NL111|NL113|NL124","Oldenburg|Osnabrück|Emsland|Agglomeratie Leiden en Bollenstreek|West-Noord-Brabant|Noord-Drenthe|Oost-Groningen|Overig Groningen|Noord-Friesland"
"DE943|DE944|DE94F|DEA35|DEA32|DEA37|DEA33|DEA1B|NL329|NL124|NL212|NL213|NL221|NL225|NL226","Oldenburg|Osnabrück|Vechta|Coesfeld|Gelsenkirchen|Steinfurt|Münster|Kleve|Groot-Amsterdam|Noord-Friesland|Zuidwest-Overijssel|Twente|Veluwe|Achterhoek|Arnhem/Nijmegen"
"DE943|DE944|DEA33|DEA2D|NL124|NL211|NL213|NL221|NL226|NL230|DEA11","Oldenburg|Osnabrück|Münster|Aachen cities region|Noord-Friesland|Noord-Overijssel|Twente|Veluwe|Arnhem/Nijmegen|Flevoland|Düsseldorf"
"DE943|DE945|UKK30|BE234|DK041|NL332|NL342|UKJ45","Oldenburg|Wilhelmshaven|Cornwall|Arrondissement of Ghent|Vestjylland|Agglomeratie's-Gravenhage|Overig Zeeland|Mid Kent"
"DE943|DE946|DE948|DE949|DE94B|DE94E|DEA37|DEA34|DEA33|NL131|NL111|NL113|NL124|NL125|NL212|NL213|NL224|NL230","Oldenburg|Ammerland|Cloppenburg|Emsland|County of Bentheim|Osnabrück|Steinfurt|Borken|Münster|Noord-Drenthe|Oost-Groningen|Overig Groningen|Noord-Friesland|Zuidwest-Friesland|Zuidwest-Overijssel|Twente|Zuidwest-Gelderland|Flevoland"
"DE943|DE946|DE94C|NL112|NL113|NL133","Oldenburg|Ammerland|Leer|Delfzijl|Overig Groningen|Zuidwest-Drenthe"
"DE943|DE949|DE938|DK042|DK031|BE234|BE212|DK022|NL113|NL124|NL125","Oldenburg|Emsland|Heidekreis|East Jutland|Funen|Arrondissement of Ghent|Arrondissement of Mechelen|Vest- og Sydsjælland|Overig Groningen|Noord-Friesland|Zuidwest-Friesland"
"DE943|DE949|DE94C|NL131|NL111|NL113","Oldenburg|Emsland|Leer|Noord-Drenthe|Oost-Groningen|Overig Groningen"
"DE943|DE94A|DE94B|DEA17|DEA34|DEA33|DEA1D|NL423|NL132|NL211|NL213|NL221|NL225|NL226|DEA12|DEA11","Oldenburg|Friesland|County of Bentheim|Oberhausen|Borken|Münster|Rhine Neuss|Zuid-Limburg|Zuidoost-Drenthe|Noord-Overijssel|Twente|Veluwe|Achterhoek|Arnhem/Nijmegen|Duisburg|Düsseldorf"
"DE943|DE94C|NL113|NL124|NL125|NL310","Oldenburg|Leer|Overig Groningen|Noord-Friesland|Zuidwest-Friesland|Utrecht"
"DE943|DE94G|BE256|BE254|BE234|BE212|DK041|DK011|BE100|DE803","Oldenburg|Wesermarsch|Arrondissement of Roeselare|Arrondissement of Kortrijk|Arrondissement of Ghent|Arrondissement of Mechelen|Vestjylland|Byen København|Arrondissement of Brussels-Capital|Rostock"
"DE943|DE94G|NL124|DE600","Oldenburg|Wesermarsch|Noord-Friesland|Hamburg"
"DE943|DEA34|DEA33|NL413|NL414|NL423|NL126|NL213|NL221|NL225|DEA12","Oldenburg|Borken|Münster|Noordoost-Noord-Brabant|Zuidoost-Noord-Brabant|Zuid-Limburg|Zuidoost-Friesland|Twente|Veluwe|Achterhoek|Duisburg"
"DE943|DEA37|DEA34|NL113","Oldenburg|Steinfurt|Borken|Overig Groningen"
"DE943|DK042|UKE12|BE251|BE254|BE211|NL211|NL230|BE100","Oldenburg|East Jutland|East Riding of Yorkshire|Arrondissement of Bruges|Arrondissement of Kortrijk|Arrondissement of Antwerp|Noord-Overijssel|Flevoland|Arrondissement of Brussels-Capital"
"DE943|NL124|NL125","Oldenburg|Noord-Friesland|Zuidwest-Friesland"
"DE943|UKH25|BE242|BE236|NL226|UKJ35","Oldenburg|Central Bedfordshire|Arrondissement of Leuven|Arrondissement of Sint-Niklaas|Arnhem/Nijmegen|South Hampshire"
"DE944","Osnabrück"
"DE944|DE929|DEA34|NL332|NL221","Osnabrück|Hanover region|Borken|Agglomeratie's-Gravenhage|Veluwe"
"DE944|DE929|NL332","Osnabrück|Hanover region|Agglomeratie's-Gravenhage"
"DE944|DE929|NO0A1|UKF30|DK042|DK031|BE235|BE234|NL310","Osnabrück|Hanover region|Rogaland|Lincolnshire|East Jutland|Funen|Arrondissement of Oudenaarde|Arrondissement of Ghent|Utrecht"
"DE944|DE931|DE94E|DE93B|NL124","Osnabrück|Celle|Verden|Noord-Friesland"
"DE944|DE931|NL113|NL124","Osnabrück|Celle|Overig Groningen|Noord-Friesland"
"DE944|DE948|DE949|NL113|NL132|NL133","Osnabrück|Cloppenburg|Emsland|Overig Groningen|Zuidoost-Drenthe|Zuidwest-Drenthe"
"DE944|DE949|DE94B|DEA37|DEA34|DEA33|NL213|NL225","Osnabrück|Emsland|County of Bentheim|Steinfurt|Borken|Münster|Twente|Achterhoek"
"DE944|DE949|DE94B|DEA37|DEA34|NL211|NL225|NL226","Osnabrück|Emsland|County of Bentheim|Steinfurt|Borken|Noord-Overijssel|Achterhoek|Arnhem/Nijmegen"
"DE944|DE949|DEA34|NL113|NL213|NL225|NL230","Osnabrück|Emsland|Borken|Overig Groningen|Twente|Achterhoek|Flevoland"
"DE944|DE949|DEA37|DEA34|NL211|NL226","Osnabrück|Emsland|Steinfurt|Borken|Noord-Overijssel|Arnhem/Nijmegen"
"DE944|DE94B|DEA37|DEA34|NL332|NL211|NL224|NL225|NL226","Osnabrück|County of Bentheim|Steinfurt|Borken|Agglomeratie's-Gravenhage|Noord-Overijssel|Zuidwest-Gelderland|Achterhoek|Arnhem/Nijmegen"
"DE944|DEA1F|NL221|NL225","Osnabrück|Wesel|Veluwe|Achterhoek"
"DE944|DEA33|DEA1B|NL213|NL225","Osnabrück|Münster|Kleve|Twente|Achterhoek"
"DE945","Wilhelmshaven"
"DE945|DE94C|NL113|NL124","Wilhelmshaven|Leer|Overig Groningen|Noord-Friesland"
"DE945|NO0A3|DK032|NL332|NL124|UKH15|DE300","Wilhelmshaven|Møre og Romsdal|Southern Jutland|Agglomeratie's-Gravenhage|Noord-Friesland|Norwich and East Norfolk|Berlin"
"DE946","Ammerland"
"DE947","Aurich"
"DE947|DE949|DE94C|NL324|NL414|NL113|NL321","Aurich|Emsland|Leer|Haarlem|Zuidoost-Noord-Brabant|Overig Groningen|Kop van Noord-Holland"
"DE948","Cloppenburg"
"DE949","Emsland"
"DE949|DE94B|DEA33|NL213|NL221","Emsland|County of Bentheim|Münster|Twente|Veluwe"
"DE949|DE94B|DEA34|NL211|NL213","Emsland|County of Bentheim|Borken|Noord-Overijssel|Twente"
"DE949|DE94B|NL131|NL111|NL124|NL132","Emsland|County of Bentheim|Noord-Drenthe|Oost-Groningen|Noord-Friesland|Zuidoost-Drenthe"
"DE949|DE94E|DEA37|DEA33|NL211|NL213|NL225","Emsland|Osnabrück|Steinfurt|Münster|Noord-Overijssel|Twente|Achterhoek"
"DE949|DEA34|NL113|NL213","Emsland|Borken|Overig Groningen|Twente"
"DE949|DEA37|DEA33|NL113|NL213|NL221","Emsland|Steinfurt|Münster|Overig Groningen|Twente|Veluwe"
"DE949|NL111|NL113|NL132","Emsland|Oost-Groningen|Overig Groningen|Zuidoost-Drenthe"
"DE949|NL113","Emsland|Overig Groningen"
"DE949|NL131","Emsland|Noord-Drenthe"
"DE949|NL131|NL111","Emsland|Noord-Drenthe|Oost-Groningen"
"DE949|NL131|NL111|NL113|NL132|NL133|NL221","Emsland|Noord-Drenthe|Oost-Groningen|Overig Groningen|Zuidoost-Drenthe|Zuidwest-Drenthe|Veluwe"
"DE949|NL131|NL113|NL126|NL133","Emsland|Noord-Drenthe|Overig Groningen|Zuidoost-Friesland|Zuidwest-Drenthe"
"DE949|NL131|NL113|NL132|NL213","Emsland|Noord-Drenthe|Overig Groningen|Zuidoost-Drenthe|Twente"
"DE949|NL131|NL132|NL133","Emsland|Noord-Drenthe|Zuidoost-Drenthe|Zuidwest-Drenthe"
"DE949|NL132","Emsland|Zuidoost-Drenthe"
"DE949|NL211","Emsland|Noord-Overijssel"
"DE94A","Friesland"
"DE94B","County of Bentheim"
"DE94B|DE94E|DEA35|DEA34|DEA33|NL125|NL212|NL213|NL221|NL225|DE212","County of Bentheim|Osnabrück|Coesfeld|Borken|Münster|Zuidwest-Friesland|Zuidwest-Overijssel|Twente|Veluwe|Achterhoek|Munich"
"DE94B|DEA33|NL211","County of Bentheim|Münster|Noord-Overijssel"
"DE94B|DEA33|NL213","County of Bentheim|Münster|Twente"
"DE94B|DEA34|NL211|NL213|NL221","County of Bentheim|Borken|Noord-Overijssel|Twente|Veluwe"
"DE94B|DEA37|NL225","County of Bentheim|Steinfurt|Achterhoek"
"DE94B|ES418|UKG33|EL522|PL415|PL416","County of Bentheim|Valladolid Province|Coventry|Θεσσαλονίκη|Miasto Poznań|Kaliski"
"DE94B|NL213","County of Bentheim|Twente"
"DE94C","Leer"
"DE94C|NL113","Leer|Overig Groningen"
"DE94C|NL113|NL124","Leer|Overig Groningen|Noord-Friesland"
"DE94D","Oldenburg"
"DE94E","Osnabrück"
"DE94F","Vechta"
"DE94F|DEA1B|DEA14|NL411|NL414|NL421|NL221","Vechta|Kleve|Krefeld|West-Noord-Brabant|Zuidoost-Noord-Brabant|Noord-Limburg|Veluwe"
"DE94F|UKH14|BE256|DK050|NL33C|NL131|NL113|UKM71","Vechta|Suffolk|Arrondissement of Roeselare|Nordjylland|Groot-Rijnmond|Noord-Drenthe|Overig Groningen|Angus and Dundee City"
"DE94G","Wesermarsch"
"DE94H","Wittmund"
"DEA11","Düsseldorf"
"DEA12","Duisburg"
"DEA13","Essen"
"DEA13|DE929|DEA35|DEA32|DEA1F|DEA2D|DEA14|NL33A|NL414|NL421|NL422|NL423|NL211|NL213|NL226","Essen|Hanover region|Coesfeld|Gelsenkirchen|Wesel|Aachen cities region|Krefeld|Zuidoost-Zuid-Holland|Zuidoost-Noord-Brabant|Noord-Limburg|Midden-Limburg|Zuid-Limburg|Noord-Overijssel|Twente|Arnhem/Nijmegen"
"DEA13|DE944|DE948|DE949|DE94F|DEA16|DEB13|DEA2C|DEA32|DEA37|DEA34|DEA33|DEA1F|NL33C|NL412|NL414|NL113|NL124|NL125|NL126|NL132|NL133|NL213|NL221|NL225|NL226|NL230|DE600|DEA12|DEA11","Essen|Osnabrück|Cloppenburg|Emsland|Vechta|Mülheim an der Ruhr|Altenkirchen district|Rhein-Sieg District|Gelsenkirchen|Steinfurt|Borken|Münster|Wesel|Groot-Rijnmond|Midden-Noord-Brabant|Zuidoost-Noord-Brabant|Overig Groningen|Noord-Friesland|Zuidwest-Friesland|Zuidoost-Friesland|Zuidoost-Drenthe|Zuidwest-Drenthe|Twente|Veluwe|Achterhoek|Arnhem/Nijmegen|Flevoland|Hamburg|Duisburg|Düsseldorf"
"DEA13|DEA15|DEA17|DEA47|DEA1F|DEA1B|DEA31|DEA1E|DEA1D|DEA14|NL329|NL332|NL413|NL414|NL422|NL221|NL224|NL225|NL226|DEA12|DEA11","Essen|Mönchengladbach|Oberhausen|Paderborn|Wesel|Kleve|Bottrop|Viersen|Rhine Neuss|Krefeld|Groot-Amsterdam|Agglomeratie's-Gravenhage|Noordoost-Noord-Brabant|Zuidoost-Noord-Brabant|Midden-Limburg|Veluwe|Zuidwest-Gelderland|Achterhoek|Arnhem/Nijmegen|Duisburg|Düsseldorf"
"DEA13|DEA1B|NL226","Essen|Kleve|Arnhem/Nijmegen"
"DEA13|DEA33|DEA1F|DEA1B|DEA23|DEA1E|DEA1D|NL413|NL421|NL423|NL226|DEA12|DEA11|NL310","Essen|Münster|Wesel|Kleve|Cologne|Viersen|Rhine Neuss|Noordoost-Noord-Brabant|Noord-Limburg|Zuid-Limburg|Arnhem/Nijmegen|Duisburg|Düsseldorf|Utrecht"
"DEA13|DEA51|DEA14|BE213|DE711|FRB06|BE100|NL310","Essen|Bochum|Krefeld|Arrondissement of Turnhout|Darmstadt|Loiret|Arrondissement of Brussels-Capital|Utrecht"
"DEA13|IE021|IE061|IE024|IE052|IE013|IE042|UKM64|UKC21|DE11D|BE242|NL332|FRH03|UKM95|UKM65|BE100","Essen|Dublin Region|South-East Region, Ireland|West Region, Ireland|Outer Hebrides|Northumberland|Ostalbkreis|Arrondissement of Leuven|Agglomeratie's-Gravenhage|Ille-et-Vilaine|South Lanarkshire|Orkney Islands|Arrondissement of Brussels-Capital"
"DEA13|IE024|IE052|FR103|UKK41|UKJ22|DEB39|DEB32|BE332|FRH02|NL226|DE712","Essen|South-East Region, Ireland|Yvelines|Plymouth|East Sussex|Worms|Kaiserslautern|Arrondissement of Liège|Finistère|Arnhem/Nijmegen|Frankfurt"
"DEA13|IE025|IE053|CH032|UKM64|DEA52|BE332|BE234|NL328|FRH03|UKM61|UKM82|UKM75|FR106","Essen|South-West Region, Ireland|Basel-Landschaft|Outer Hebrides|Dortmund|Arrondissement of Liège|Arrondissement of Ghent|Alkmaar en omgeving|Ille-et-Vilaine|Caithness & Sutherland and Ross & Cromarty|Glasgow City|Edinburgh, City of|Seine-Saint-Denis"
