"NUTS2","GDP","population","GDP_per_cap"
"DE80",35028.907655,1651216,21214.0069227769
"DE93",36242.548154,1693654,21399.0272830224
"DEG0",48383.52865,2249882,21504.9183246055
"DED4",33404.861564,1540029,21691.0600800375
"DEE0",51743.168263,2356219,21960.2542306127
"DE40",56306.133394,2511525,22419.1013006042
"DED2",38117.32298,1631486,23363.5611828725
"DEB2",12560.448541,513794,24446.4679248882
"DED5",24440.457056,997217,24508.664669776
"DEF0",73334.197061,2832027,25894.5967185341
"DEB1",38799.743328,1490711,26027.6762752807
"DEA3",70735.170389,2597636,27230.5936586188
"DE72",28663.12958,1044269,27448.032623778
"DE94",68605.43129,2476001,27708.1597664944
"DEA5",102135.424266,3676032,27784.149938303
"DE24",30969.262968,1076400,28771.1473132664
"DE73",35564.497198,1224741,29038.3821542677
"DEA4",60011.382312,2043212,29371.0991869664
"DEC0",30359.02604,1022585,29688.5110186439
"DE13",66467.804016,2196018,30267.4222233151
"DEB3",61430.124192,2008170,30590.1015312449
"DE30",105569.7822,3442680,30665
"DE92",66230.622272,2142438,30913.6704408716
"DE27",55279.377018,1784753,30973.1245825053
"DE22",36895.203401,1189194,31025.3864390503
"DE26",41783.291698,1321957,31607.1488694413
"DE23",34715.111211,1081417,32101.5031306147
"DE14",60429.350716,1807552,33431.5973847502
"DEA2",148218.535434,4383044,33816.3466837203
"DEA1",177761.290696,5172839,34364.3578885792
"DE25",58945.54032,1710145,34468.1534723664
"DE91",56952.384156,1616720,35227.1167276956
"DE12",98830.564828,2740503,36062.9288958998
"DE50",26541.862395,661716,40110.6553188981
"DE11",162198.018392,4000848,40540.9099250959
"DE71",164181.203343,3792941,43285.9892476577
"DE21",195570.157415,4346465,44995.2219596845
"DE60",95486.74618,1774220,53819
