"NUTS1","GDP","population","GDP_per_cap"
"DE8",35028.907655,1651216,21214.0069227769
"DEG",48383.52865,2249882,21504.9183246055
"DEE",51743.168263,2356219,21960.2542306127
"DE4",56306.133394,2511525,22419.1013006042
"DED",95962.6416,4168732,23019.6236169655
"DEF",73334.197061,2832027,25894.5967185341
"DEB",112790.316061,4012675,28108.5101736373
"DE9",228030.985872,7928813,28759.7886180441
"DEC",30359.02604,1022585,29688.5110186439
"DE3",105569.7822,3442680,30665
"DEA",558861.803097,17872763,31268.9091830401
"DE1",387925.737952,10744921,36103.1726479888
"DE2",454157.944031,12510331,36302.6321230829
"DE7",228408.830121,6061951,37679.0954135063
"DE5",26541.862395,661716,40110.6553188981
"DE6",95486.74618,1774220,53819
