"NUTS3","funding_by_region","population","funding_per_capita_germany_aaw","GDP_per_capita","log_funding_per_capita","log_GDP_per_capita","NUTS1_states"
"DE111",315267344.14,623738,505.44835193623,83717,6.22544586100761,11.3351973421864,"DE1"
"DE112",144074985.09,381281,377.870874997705,63435,5.93455253672566,11.0577710385747,"DE1"
"DE113",42657570.35,524127,81.387851322294,40157,4.39922601521524,10.6005520503801,"DE1"
"DE114",27681058.68,252749,109.519953313366,32703,4.69610675469601,10.3952220957965,"DE1"
"DE115",19733086.51,534074,36.9482253582837,44079,3.60951761804823,10.6937387575441,"DE1"
"DE116",25469381.72,419456,60.7200319461398,33199,4.10627365920943,10.410275033969,"DE1"
"DE117",25318029.74,122567,206.564815488671,52141,5.33061423961063,10.8617068664367,"DE1"
"DE118",8595758.81,334388,25.7059428268957,50856,3.24672220357031,10.8367533886162,"DE1"
"DE119",5509800.36,110181,50.006810248591,46523,3.91215920112491,10.7477020929454,"DE1"
"DE11A",12149874.5,191614,63.408073000929,39168,4.14959118773635,10.575615365872,"DE1"
"DE11B",10029533.98,132181,75.8772741922061,35740,4.32911722180964,10.4840257887134,"DE1"
"DE11C",9607504.63,130527,73.6054964107043,34990,4.29871970243972,10.4628175853617,"DE1"
"DE11D",56683385.98,312650,181.299811226611,40588,5.20015207653914,10.611227735399,"DE1"
"DE121",7114785.59,54160,131.366055945347,52294,4.87798774653966,10.8646369207185,"DE1"
"DE122",64056081.24,307755,208.139855534435,62202,5.33821023613065,11.0381424325512,"DE1"
"DE123",20313302.48,435841,46.6071399432362,35585,3.84175374706098,10.4796794797334,"DE1"
"DE124",7924355.51,227474,34.8363132050256,41646,3.55066032563362,10.6369606045676,"DE1"
"DE125",58800791.37,156267,376.284125055194,53315,5.9303445097714,10.8839729964523,"DE1"
"DE126",67627368.11,305780,221.163477369351,63036,5.39890214466567,11.051461270742,"DE1"
"DE127",7384744.71,142936,51.6646940588795,30103,3.94477464801672,10.3123801135446,"DE1"
"DE128",14467800.27,541859,26.7003044518962,32744,3.28467496803393,10.3964750181722,"DE1"
"DE129",51300020.61,122247,419.642368401679,39800,6.03940284473659,10.5916221912725,"DE1"
"DE12A",8091939.81,155359,52.0854267213357,27482,3.95288519219033,10.2212865238917,"DE1"
"DE12B",1452157.9,196066,7.40647486050616,28961,2.00235459878675,10.2737053762902,"DE1"
"DE12C",9273098.75,116233,79.7802581882942,37107,4.3792760827254,10.5215609100431,"DE1"
"DE131",92683236.31,226393,409.39091009881,48586,6.01467046999782,10.791090702546,"DE1"
"DE132",15232868.88,257343,59.1928627551556,28763,4.08080097305351,10.2668451179387,"DE1"
"DE133",12215031.01,162082,75.3632791426562,29824,4.32232014236094,10.3030687174853,"DE1"
"DE134",48698418.13,420106,115.919358757076,38917,4.75289476622587,10.5691864521368,"DE1"
"DE135",11568539.9,137500,84.1348356363636,40977,4.43242069805621,10.620766212671,"DE1"
"DE136",17844305.45,209648,85.1155529745097,36874,4.44400978003812,10.5152619746303,"DE1"
"DE137",19414699.38,136606,142.121864193374,46067,4.95668488810433,10.7378521375114,"DE1"
"DE138",16705947.07,280288,59.6027909507364,33520,4.0877024010074,10.419897554596,"DE1"
"DE139",15057070.51,226708,66.4161410713341,32188,4.19594011536489,10.379348991266,"DE1"
"DE13A",6563493.97,167861,39.100767718529,30188,3.66614210154355,10.3151997734048,"DE1"
"DE141",36519331.41,282113,129.449303683276,39079,4.86328932714311,10.573340517293,"DE1"
"DE142",17849929.61,221837,80.46416788002,32642,4.38781196582657,10.3933550817106,"DE1"
"DE143",12548224.14,188595,66.5352959516424,33102,4.19773257304537,10.4073489825005,"DE1"
"DE144",27963895.13,122636,228.023542271437,74745,5.42944887920043,11.2218375993836,"DE1"
"DE145",2723539.57,192104,14.1774224899013,29658,2.65165073377076,10.297487182535,"DE1"
"DE146",25636172.39,194019,132.132277715069,48946,4.88380352471748,10.7984729285829,"DE1"
"DE147",33891651.28,212201,159.71485186215,49118,5.07339004940752,10.8019808453797,"DE1"
"DE148",29738181.97,279296,106.475502585071,41278,4.66791493601482,10.6280849493693,"DE1"
"DE149",17913760.16,130772,136.984676842137,34811,4.91986907170508,10.4576887077701,"DE1"
"DE211",28133169.25,132438,212.425204624051,128100,5.35858994816583,11.7605664878848,"DE2"
"DE212",205147015.61,1450380,141.443632434259,75573,4.95190128036286,11.2328543555198,"DE2"
"DE213",9956134.25,61844,160.987876754414,51252,5.08132906248728,10.8445099206295,"DE2"
"DE214",5979888.07,108485,55.1217962852007,47279,4.00954521480287,10.7638215012641,"DE2"
"DE215",2151266.72,103907,20.7037708720298,31751,3.03031585141171,10.3656794998878,"DE2"
"DE216",6827226.8,124930,54.6484175138077,27713,4.00092025745687,10.2296568961614,"DE2"
"DE217",2087467.79,149370,13.9751475530562,27603,2.63728057734365,10.2256797414505,"DE2"
"DE218",2402841.91,137421,17.485259967545,30862,2.86135823843712,10.3372809326312,"DE2"
"DE219",1653551.47,128805,12.8376341756919,32688,2.55238102705532,10.3947633170574,"DE2"
"DE21A",9069785.41,133747,67.8130007402035,29728,4.21675392789485,10.2998446416136,"DE2"
"DE21B",13175033.44,173225,76.0573441477847,50117,4.33148758403331,10.8221155508738,"DE2"
"DE21C",4185780.16,213481,19.6072725910034,25210,2.97590054797563,10.134996020182,"DE2"
"DE21D",8124162.99,87385,92.9697658637066,28382,4.53227434205765,10.2535104203945,"DE2"
"DE21E",2305966.94,117657,19.5990628691876,32583,2.97548175229685,10.3915459589481,"DE2"
