"NUTS3","funding_by_region","population","funding_per_capita_germany_erdf","GDP_per_capita","log_funding_per_capita","log_GDP_per_capita","NUTS1_states"
"DE111",102083691.42,623738,163.664377382811,83717,5.09781785155085,11.3351973421864,"DE1"
"DE112",6991057,381281,18.3357077850719,63435,2.90885040372732,11.0577710385747,"DE1"
"DE113",5995550.66,524127,11.4391181145028,40157,2.43703889508711,10.6005520503801,"DE1"
"DE114",2771300,252749,10.9646328966682,32703,2.39467490175338,10.3952220957965,"DE1"
"DE115",7e+05,534074,1.31067979343686,44079,0.270545928905059,10.6937387575441,"DE1"
"DE116",3493266.68,419456,8.3280884765029,33199,2.11963395523593,10.410275033969,"DE1"
"DE117",4433059.34,122567,36.1684575783041,52141,3.58818740138054,10.8617068664367,"DE1"
"DE118",6841000,334388,20.4582700336136,50856,3.0183872033618,10.8367533886162,"DE1"
"DE119",1200000,110181,10.8911699839355,46523,2.38795236771535,10.7477020929454,"DE1"
"DE11A",3607500,191614,18.8269124385483,39168,2.93528735888714,10.575615365872,"DE1"
"DE11B",1031950,132181,7.80709784310907,35740,2.05503329980063,10.4840257887134,"DE1"
"DE11C",2717878.75,130527,20.8223490159124,34990,3.03602688179434,10.4628175853617,"DE1"
"DE11D",29805751.54,312650,95.332645258276,40588,4.55737230455517,10.611227735399,"DE1"
"DE122",22449299.41,307755,72.9453604653052,62202,4.28971067411567,11.0381424325512,"DE1"
"DE123",11923010.84,435841,27.3563314144378,35585,3.30894799803444,10.4796794797334,"DE1"
"DE124",55242.5,227474,0.242851930330499,41646,-1.41530336156849,10.6369606045676,"DE1"
"DE125",34989166.5,156267,223.90630459406,53315,5.41122768128805,10.8839729964523,"DE1"
"DE126",30665347.6,305780,100.285655046112,63036,4.60802266426203,11.051461270742,"DE1"
"DE127",1979962.88,142936,13.8520938042201,30103,2.62843639840723,10.3123801135446,"DE1"
"DE128",3048851.36,541859,5.62665077077247,32744,1.72751437539603,10.3964750181722,"DE1"
"DE129",11878157.2,122247,97.1652245044868,39800,4.57641287486293,10.5916221912725,"DE1"
"DE12A",2865505,155359,18.4444094001635,27482,2.91476131102738,10.2212865238917,"DE1"
"DE12C",4807112.5,116233,41.3575533626423,37107,3.72225507377547,10.5215609100431,"DE1"
"DE131",54789187.42,226393,242.009193835498,48586,5.48897571649082,10.791090702546,"DE1"
"DE132",8938203.4,257343,34.732646312509,28763,3.54768006058535,10.2668451179387,"DE1"
"DE133",6941274.58,162082,42.8256967460915,29824,3.75713831368884,10.3030687174853,"DE1"
"DE134",21075547.88,420106,50.1672146553489,38917,3.9153617188236,10.5691864521368,"DE1"
"DE135",3602020,137500,26.1965090909091,40977,3.26562616108471,10.620766212671,"DE1"
"DE136",5992134.11,209648,28.581880628482,36874,3.35277297259304,10.5152619746303,"DE1"
"DE137",11888827,136606,87.0300499246007,46067,4.46625346044943,10.7378521375114,"DE1"
"DE138",2045807,280288,7.29894608402786,33520,1.98772996568072,10.419897554596,"DE1"
"DE139",2786059.63,226708,12.2891985726132,32188,2.50872071173756,10.379348991266,"DE1"
"DE13A",4e+05,167861,2.38292396685353,30188,0.868328291125639,10.3151997734048,"DE1"
"DE141",21533646.4,282113,76.3298621474374,39079,4.33506423980111,10.573340517293,"DE1"
"DE142",1069470.96,221837,4.82097648273282,32642,1.57297649732256,10.3933550817106,"DE1"
"DE143",4047562,188595,21.46166123174,33102,3.06626814481881,10.4073489825005,"DE1"
"DE144",6321129.17,122636,51.5438302782217,74745,3.94243251907564,11.2218375993836,"DE1"
"DE145",1469300,192104,7.64846125015617,29658,2.03450448383589,10.297487182535,"DE1"
"DE146",12855065.1,194019,66.2567331034589,48946,4.1935370914525,10.7984729285829,"DE1"
"DE147",24277902.5,212201,114.409934448942,49118,4.73978791476402,10.8019808453797,"DE1"
"DE148",11669538.24,279296,41.7819741063245,41278,3.73246500504387,10.6280849493693,"DE1"
"DE149",12364490,130772,94.5499801180681,34811,4.54912858482489,10.4576887077701,"DE1"
"DE211",17793968.86,132438,134.356973527235,128100,4.90050023938795,11.7605664878848,"DE2"
"DE212",98287794.58,1450380,67.7669263089673,75573,4.21607426337499,11.2328543555198,"DE2"
"DE214",3190508.41,108485,29.409673318892,47279,3.38132364468007,10.7638215012641,"DE2"
"DE215",44924.8,103907,0.432355856679531,31751,-0.838506287513796,10.3656794998878,"DE2"
"DE216",3806666.66,124930,30.4703967021532,27713,3.41675561234684,10.2296568961614,"DE2"
"DE219",10958.2,128805,0.0850758899111059,32688,-2.46421159833714,10.3947633170574,"DE2"
"DE21A",3789677,133747,28.3346691888416,29728,3.34408611455225,10.2998446416136,"DE2"
"DE21B",10198497.68,173225,58.874283042286,50117,4.07540437463672,10.8221155508738,"DE2"
"DE21D",4585255,87385,52.4718773244836,28382,3.96027735606531,10.2535104203945,"DE2"
"DE21F",135833.32,98286,1.38202104063651,34712,0.323546950002744,10.4548407274782,"DE2"
"DE21G",16195756.09,112034,144.56108047557,32225,4.97370212049214,10.3804978278074,"DE2"
"DE21J",3212436.47,124128,25.8800308552462,40152,3.25347166187489,10.6004275313348,"DE2"
"DE21K",6109864.48,256074,23.8597611627889,30708,3.17219340667788,10.3322784859478,"DE2"
"DE21L",2068449.88,133621,15.4799760516685,41521,2.73954732111055,10.6339546023282,"DE2"
"DE21M",676124.53,174162,3.8821587372676,38407,1.35639137450011,10.5559950136294,"DE2"
"DE21N",1433896.9,132906,10.7888048696071,38301,2.3785090103557,10.5532312844885,"DE2"
