"TL","Territory Level and Typology","REG_ID","Region","SERIES","SNA Classification","VAR","Indicator","MEAS","Measure","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"2","Large regions (TL2)","DE4","Brandenburg","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","PC_USD_PPP","      USD per head, current prices, current PPP","ALL","All regions","2010","2010",,,"0","Units",,,27863,,
"2","Large regions (TL2)","DE3","Berlin","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","REAL_PPP","      Millions USD, constant prices, constant PPP, base year 2015","ALL","All regions","2005","2005",,,"0","Units",,,128536,,
"2","Large regions (TL2)","DE1","Baden-Württemberg","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","USD_PPP","      Millions USD, current prices, current PPP","ALL","All regions","2012","2012",,,"0","Units",,,526821,,
"2","Large regions (TL2)","DEB","Rhineland-Palatinate","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2011","2011","EUR","Euro","6","Millions","2015","2015",125984,,
"2","Large regions (TL2)","DEF","Schleswig-Holstein","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","REAL_PPP","      Millions USD, constant prices, constant PPP, base year 2015","ALL","All regions","2006","2006",,,"0","Units",,,101861,,
"2","Large regions (TL2)","DEG","Thuringia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","REAL_PPP","      Millions USD, constant prices, constant PPP, base year 2015","ALL","All regions","2012","2012",,,"0","Units",,,69848.1,,
"2","Large regions (TL2)","DE1","Baden-Württemberg","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","REAL_PPP","      Millions USD, constant prices, constant PPP, base year 2015","ALL","All regions","2005","2005",,,"0","Units",,,495034,,
"2","Large regions (TL2)","DEE","Saxony-Anhalt","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","REAL_PPP","      Millions USD, constant prices, constant PPP, base year 2015","ALL","All regions","2013","2013",,,"0","Units",,,73422.6,,
"2","Large regions (TL2)","DE4","Brandenburg","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","USD_PPP","      Millions USD, current prices, current PPP","ALL","All regions","2012","2012",,,"0","Units",,,74847,,
"2","Large regions (TL2)","DEC","Saarland","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","PC_USD_PPP","      USD per head, current prices, current PPP","ALL","All regions","2010","2010",,,"0","Units",,,36876,,
"2","Large regions (TL2)","DE4","Brandenburg","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2013","2013","EUR","Euro","6","Millions","2015","2015",62817,,
"2","Large regions (TL2)","DED","Saxony","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","USD_PPP","      Millions USD, current prices, current PPP","ALL","All regions","2012","2012",,,"0","Units",,,128755,,
"2","Large regions (TL2)","DEE","Saxony-Anhalt","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","USD_PPP","      Millions USD, current prices, current PPP","ALL","All regions","2007","2007",,,"0","Units",,,59552.7,,
"2","Large regions (TL2)","DE9","Lower Saxony","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","PC_USD_PPP","      USD per head, current prices, current PPP","ALL","All regions","2012","2012",,,"0","Units",,,40001,,
"2","Large regions (TL2)","DE1","Baden-Württemberg","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","REAL_PR","      Millions National currency, constant prices, base year 2015","ALL","All regions","2012","2012","EUR","Euro","6","Millions","2015","2015",438655,,
"2","Large regions (TL2)","DEF","Schleswig-Holstein","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","REAL_PPP","      Millions USD, constant prices, constant PPP, base year 2015","ALL","All regions","2013","2013",,,"0","Units",,,106710,,
"2","Large regions (TL2)","DEG","Thuringia","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","USD_PPP","      Millions USD, current prices, current PPP","ALL","All regions","2007","2007",,,"0","Units",,,55612.9,,
"2","Large regions (TL2)","DE3","Berlin","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","CURR_PR","      Millions National currency, current prices","ALL","All regions","2007","2007","EUR","Euro","6","Millions",,,94579,,
"2","Large regions (TL2)","DE9","Lower Saxony","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","REAL_PPP","      Millions USD, constant prices, constant PPP, base year 2015","ALL","All regions","2011","2011",,,"0","Units",,,330878,,
"2","Large regions (TL2)","DE6","Hamburg","SNA_2008","Last SNA classification (SNA 2008 or latest available)","GDP","Regional GDP","REAL_PPP","      Millions USD, constant prices, constant PPP, base year 2015","ALL","All regions","2008","2008",,,"0","Units",,,135145,,
