"","Operation_Start_Date","Operation_End_Date","Total_Eligible_Expenditure_amount","months_between","years_between"
"38768",2019-01-25,2019-01-27,2754,0,1
"38769",2017-09-01,2018-06-28,7500,9,1
"38770",2018-03-08,2019-05-31,10603.38,14,2
"38771",2014-01-07,2016-07-01,141061,29,3
"38772",2014-05-20,2015-11-30,39813.63,18,2
"38773",2018-04-01,2021-09-30,550000,41,4
"38774",2019-05-01,2022-04-30,422225,35,3
"38775",2020-07-15,2022-07-14,307787.2,23,2
"38776",2016-02-15,2016-11-17,13000,9,1
"38777",2016-06-01,2018-11-30,443281,29,3
"38778",2020-04-01,2020-07-31,33075.54,3,1
"38779",2016-04-20,2017-07-31,11276.1,15,2
"38780",2015-03-27,2018-03-31,836375,36,3
"38781",2018-09-21,2019-01-31,5000,4,1
"38782",2016-10-19,2017-05-23,6372.5,7,1
"38783",2018-06-25,2021-09-30,4e+05,39,4
"38784",2020-11-07,2021-06-15,6473.13,7,1
"38785",2018-01-10,2022-03-31,55858.75,50,5
"38786",2017-06-02,2017-08-31,5000.01,2,1
"38787",2015-08-26,2017-08-25,80889.15,23,2
"38788",2017-07-04,2017-07-06,6375,0,1
"38790",2016-03-15,2018-03-14,156336.18,23,2
"38791",2018-12-10,2021-06-30,138570.29,30,3
"38792",2020-10-01,2023-09-30,8000,35,3
"38793",2014-03-12,2015-09-01,4394.8,17,2
"38794",2017-05-01,2020-04-30,47763.52,35,3
"38795",2017-06-13,2019-01-31,16430,19,2
"38796",2018-01-18,2019-01-15,32307.32,11,1
"38797",2016-10-21,2018-01-31,5000.01,15,2
"38798",2018-06-01,2021-08-31,682198,38,4
"38799",2016-06-23,2017-07-31,50000.01,13,2
"38800",2016-06-03,2017-04-27,13000,10,1
"38801",2018-06-01,2020-05-03,22997.5,23,2
"38802",2016-07-01,2017-08-31,37000,13,2
"38803",2015-02-26,2016-04-30,6250.01,14,2
"38804",2018-03-06,2018-08-22,18273,5,1
"38805",2015-10-15,2016-06-30,5000.01,8,1
"38806",2017-01-04,2020-09-30,409599,44,4
"38807",2021-03-01,2023-03-31,599800,24,2
"38808",2018-01-01,2023-12-15,1030080,71,6
"38809",2020-09-15,2021-01-15,25000,4,1
"38810",2020-06-05,2020-12-31,7097.07,6,1
"38811",2019-06-01,2022-05-31,1289620.58,35,3
"38812",2019-01-01,2021-12-31,1e+05,35,3
"38813",2019-06-24,2020-06-01,6250,11,1
"38814",2017-08-01,2019-01-31,690000,17,2
"38815",2019-12-09,2020-12-30,11363.57,12,1
"38816",2017-01-01,2018-05-31,204959.38,16,2
"38817",2017-01-06,2018-06-30,130160.21,17,2
"38818",2020-09-01,2022-10-31,311226.48,25,3
"38819",2019-11-26,2020-09-19,4000,9,1
"38820",2017-09-05,2019-04-30,99414.19,19,2
"38821",2018-07-16,2022-06-30,4285000,47,4
"38822",2017-07-10,2021-01-31,746562,42,4
"38823",2018-05-01,2020-04-30,68590.68,23,2
"38824",2019-02-07,2021-04-30,537283.48,26,3
"38825",2016-11-01,2020-01-31,584500,38,4
"38826",2017-04-01,2020-03-31,237884.45,35,3
