"","Operation_Start_Date","Operation_End_Date","Total_Eligible_Expenditure_amount","months_between","years_between"
"1",2016-04-01,2019-06-30,119996.43,38,4
"2",2016-03-11,2018-12-31,590000,33,3
"3",2020-07-13,2022-07-30,338506.47,24,2
"4",2016-02-11,2018-01-31,6250.01,23,2
"5",2018-10-08,2018-10-11,5000,0,1
"6",2017-11-22,2017-11-26,11365.5,0,1
"7",2018-02-10,2018-02-18,1483.2,0,1
"8",2018-09-18,2020-12-31,150000,27,3
"9",2015-11-06,2016-02-19,5356.38,3,1
"10",2019-03-06,2019-11-15,5000,8,1
"11",2018-04-16,2019-01-31,5000.01,9,1
"12",2018-11-06,2018-11-08,2128,0,1
"13",2019-11-18,2020-05-19,2514.94,6,1
"14",2017-06-26,2020-02-29,8e+05,32,3
"15",2019-11-11,2020-12-15,75428.46,13,2
"16",2018-02-02,2018-06-30,5000.01,4,1
"17",2020-09-01,2023-03-31,268000,30,3
"18",2015-01-01,2019-12-31,143199.78,59,5
"19",2020-03-30,2021-12-31,760000,21,2
"20",2019-11-20,2022-09-30,220000,34,3
"21",2020-02-10,2020-12-31,80000,10,1
"22",2020-02-26,2021-09-30,56801.26,19,2
"23",2017-06-19,2017-10-31,34500,4,1
"25",2016-01-04,2016-07-10,82630.01,6,1
"26",2017-10-26,2018-03-12,30000,4,1
"27",2021-01-15,2022-04-10,7500,14,2
"28",2021-06-03,2022-09-02,5000,14,2
"29",2020-01-01,2021-12-31,185600,23,2
"30",2018-05-01,2021-03-31,334103,34,3
"31",2021-04-09,2022-04-11,10000,12,1
"32",2019-11-04,2020-05-31,28887.39,6,1
"33",2018-06-13,2019-05-31,5000.01,11,1
"34",2018-06-13,2019-05-31,5000.01,11,1
"35",2019-06-17,2021-11-03,15625.01,28,3
"36",2016-04-25,2019-04-24,747846.37,35,3
"37",2020-01-01,2022-12-31,593308.71,35,3
"38",2019-03-13,2019-11-27,5000,8,1
"39",2015-10-01,2016-03-31,129303.11,5,1
"40",2019-03-15,2020-05-14,99749.1,13,2
"41",2019-11-11,2020-10-31,33830.83,11,1
"42",2020-09-01,2022-06-30,567564,21,2
"43",2015-01-04,2017-11-30,17532.65,34,3
"44",2020-09-14,2020-11-30,14900,2,1
"45",2019-10-01,2022-09-30,847887.95,35,3
"46",2019-09-01,2020-12-31,67138.56,15,2
"47",2017-08-15,2018-04-30,38563.88,8,1
"48",2017-05-30,2019-11-30,315322.18,30,3
"49",2018-01-19,2018-01-20,1701,0,1
"50",2016-09-27,2017-12-26,3600,14,2
"51",2020-05-13,2020-11-30,4781.26,6,1
"52",2018-11-01,2019-03-31,35147.14,4,1
"53",2017-05-16,2017-08-18,8000,3,1
"54",2019-01-07,2020-03-13,24906.25,14,2
"55",2017-04-24,2018-08-31,5000.01,16,2
"56",2019-11-18,2020-09-30,136372.56,10,1
"57",2020-11-10,2022-06-30,352470.86,19,2
"58",2016-11-08,2017-08-15,19861.26,9,1
"59",2018-11-30,2019-01-10,7500,1,1
"60",2015-04-01,2016-12-31,144696.34,20,2
"61",2020-08-07,2023-04-30,499896,32,3
"62",2016-11-11,2017-06-09,18346.99,6,1
"63",2017-01-10,2021-12-31,3e+05,59,5
"64",2015-07-23,2022-12-31,791962,89,8
"65",2017-03-15,2019-10-31,1400000,31,3
"66",2020-01-03,2022-02-28,2760446,25,3
"67",2016-10-24,2018-12-31,812400,26,3
"68",2021-05-01,2021-10-31,12455,5,1
"69",2018-06-04,2019-12-31,880000,18,2
"70",2021-01-01,2021-10-31,285000,9,1
"71",2016-07-01,2019-06-30,278867.5,35,3
"72",2019-04-01,2022-03-31,504983.84,35,3
"73",2017-01-03,2020-02-29,289919.98,37,4
"74",2020-09-10,2021-12-31,220091.13,15,2
"75",2020-02-11,2021-03-31,95600,13,2
"76",2015-02-02,2015-09-30,5350.01,7,1
"77",2019-09-19,2020-07-05,5000,9,1
"78",2017-11-01,2020-10-31,3664292.07,35,3
"79",2016-11-15,2020-05-31,1236991.1,42,4
"80",2019-09-04,2021-12-07,48500,27,3
"81",2019-05-15,2022-09-15,478874,40,4
"82",2020-09-21,2022-09-20,250000,23,2
"83",2017-06-12,2019-06-30,118946.25,24,2
"84",2015-08-20,2016-12-23,134600,16,2
"85",2017-01-17,2017-07-31,5000.01,6,1
"86",2019-03-15,2019-12-30,16876.88,9,1
"87",2016-01-21,2016-07-31,3750.01,6,1
"88",2017-01-01,2020-06-30,244319.98,41,4
"89",2019-12-11,2022-06-30,301200,30,3
"90",2019-02-05,2020-02-29,13262.07,12,1
"91",2018-11-01,2020-01-31,66000,14,2
"92",2019-11-01,2020-05-31,51626.22,6,1
"93",2018-09-11,2019-05-31,5000,8,1
"94",2016-03-29,2018-03-28,172888.55,23,2
"95",2018-03-19,2019-01-31,6250.01,10,1
"96",2018-05-15,2019-02-28,6250.01,9,1
"98",2017-08-23,2019-01-19,3500,16,2
"99",2018-12-18,2019-04-30,5000,4,1
"100",2016-11-05,2016-11-09,3981.25,0,1
"101",2020-02-01,2021-12-31,781952.78,22,2
"102",2016-03-01,2019-02-28,272767.28,35,3
"103",2017-03-01,2020-02-29,324744,35,3
"104",2016-04-15,2017-12-31,130000,20,2
"105",2021-03-01,2021-07-31,71896.44,4,1
"106",2019-01-11,2022-01-31,336975,36,3
"107",2020-07-09,2021-06-30,39152.76,11,1
"108",2016-03-24,2016-09-30,5000,6,1
"109",2019-03-01,2022-02-28,283080,35,3
"110",2016-10-09,2017-12-31,198017.23,14,2
"111",2019-01-03,2020-12-31,493900,23,2
"112",2015-04-22,2015-08-31,6250.01,4,1
"113",2019-10-14,2021-10-31,94000,24,2
"114",2019-11-01,2022-10-31,464823.73,35,3
"115",2018-09-18,2019-07-15,5000.01,9,1
"116",2021-05-10,2021-08-12,4000,3,1
"117",2019-07-01,2022-06-30,298285,35,3
"118",2019-10-25,2022-03-31,2320151.19,29,3
"119",2017-11-29,2018-08-31,5000.01,9,1
"120",2016-04-02,2017-01-31,5000.01,9,1
"121",2016-04-02,2017-01-31,5000.01,9,1
"122",2016-03-15,2016-11-03,6000,7,1
"123",2018-01-07,2021-04-30,713729.99,39,4
"124",2016-03-01,2018-03-31,279703.44,24,2
"125",2015-02-05,2016-01-31,107800.29,11,1
"126",2017-04-18,2017-12-31,102678,8,1
"127",2017-07-28,2018-01-31,5000.01,6,1
"128",2016-07-13,2017-02-16,13289.78,7,1
"129",2015-11-09,2016-11-15,5000.01,12,1
"130",2019-11-15,2022-12-31,209953.89,37,4
"131",2015-10-14,2023-11-30,46024.62,97,9
"132",2016-03-01,2016-05-31,49980,2,1
"133",2021-06-01,2022-07-31,1e+05,13,2
"134",2018-03-22,2019-05-31,5000.01,14,2
"135",2020-08-17,2021-11-15,109170.01,14,2
"136",2017-08-01,2017-12-31,175708.59,4,1
"137",2018-04-01,2021-07-31,495738.75,39,4
"138",2020-08-01,2020-12-31,34056.23,4,1
"139",2017-04-12,2018-06-30,6250.01,14,2
"140",2020-05-20,2021-09-24,27101.26,16,2
"141",2015-01-21,2016-01-31,5000.01,12,1
"142",2019-07-01,2021-10-31,989201.86,27,3
"143",2018-04-19,2019-02-28,6250.01,10,1
"144",2018-03-23,2021-03-22,433322.95,35,3
"145",2016-05-01,2018-04-30,16372.76,23,2
"146",2020-07-28,2021-07-27,300770,11,1
"147",2017-03-01,2019-02-28,191487.6,23,2
"148",2018-12-14,2020-02-13,5355,13,2
"149",2015-10-20,2017-12-31,3404381.25,26,3
"150",2018-09-01,2022-02-28,474249.38,41,4
"151",2021-01-01,2022-06-30,266054.11,17,2
"152",2017-01-04,2017-01-06,2812,0,1
"153",2018-08-30,2018-10-01,7500,1,1
"154",2019-12-20,2021-06-30,750000,18,2
"155",2020-01-21,2021-10-17,6250,20,2
"156",2016-08-01,2019-08-01,1153596,36,3
"157",2020-03-09,2021-01-24,30000,10,1
"158",2019-01-01,2020-02-29,60718.74,13,2
"159",2017-09-29,2021-06-30,712408.77,45,4
"160",2014-12-19,2015-02-11,7051.26,1,1
"161",2015-01-09,2019-08-31,202164,55,5
"162",2020-03-01,2022-12-31,323000,33,3
"163",2015-07-15,2019-09-30,2621745.59,50,5
"164",2018-07-01,2020-12-31,9621500,29,3
"165",2017-11-17,2018-05-31,5000.01,6,1
"167",2016-10-29,2016-11-06,1428,0,1
"168",2020-05-05,2020-08-31,22607.18,3,1
"169",2015-12-28,2016-07-31,9971.26,7,1
"170",2019-06-01,2020-11-30,382304,17,2
"171",2019-10-01,2021-03-31,746747.4,17,2
"172",2018-01-26,2019-01-31,5000.01,12,1
"173",2018-06-11,2018-06-15,13776,0,1
"174",2018-04-24,2019-04-30,993481.87,12,1
"175",2017-03-01,2018-08-31,280000,17,2
"176",2018-06-11,2018-09-15,8000,3,1
"177",2018-08-08,2019-04-30,5000,8,1
"178",2017-04-10,2018-08-31,6250.01,16,2
"179",2021-06-30,2022-07-02,10000,12,1
"180",2021-01-07,2021-09-30,24987.5,8,1
"181",2015-07-29,2016-04-30,5000.01,9,1
"182",2016-04-15,2019-01-15,643569.75,33,3
"183",2019-05-06,2020-08-05,6000,14,2
"184",2016-09-17,2016-09-25,6045,0,1
"185",2016-01-25,2017-01-31,5000.01,12,1
"186",2016-01-04,2019-09-30,334740,44,4
"187",2018-07-12,2020-02-28,58100.01,19,2
"188",2021-03-26,2022-06-01,5000,14,2
"189",2019-02-04,2019-12-08,4571.11,10,1
"190",2018-04-01,2020-06-30,480637.8,26,3
"191",2018-09-19,2019-05-23,5000,8,1
"192",2018-02-08,2019-05-07,1500,14,2
"193",2020-06-20,2022-03-31,477724.4,21,2
"194",2019-09-04,2020-06-25,29558.19,9,1
"195",2016-07-04,2017-02-28,194298.57,7,1
"197",2019-01-01,2020-09-30,410645.2,20,2
"198",2017-02-06,2018-01-31,3750.01,11,1
"199",2017-04-09,2019-03-31,5000.01,23,2
"200",2019-07-15,2019-11-30,59000,4,1
"201",2017-03-15,2017-12-31,232203.58,9,1
"202",2019-02-23,2019-03-03,1858.5,0,1
"203",2015-04-01,2016-01-29,196200,9,1
"204",2020-09-25,2021-12-30,81584,15,2
"205",2020-10-11,2021-09-30,21187.51,11,1
"206",2015-01-07,2015-07-31,3781.25,6,1
"207",2018-10-09,2019-03-31,314349.4,5,1
"208",2017-03-28,2018-08-29,133328.01,17,2
"209",2014-08-26,2015-04-30,5000.01,8,1
"210",2015-01-21,2015-08-31,5000.01,7,1
"211",2015-11-02,2023-12-31,864452.24,97,9
"212",2018-04-16,2022-03-31,560200,47,4
"213",2018-02-07,2018-02-11,4620,0,1
"214",2016-01-01,2023-12-31,520065.02,95,8
"215",2016-11-28,2020-07-31,5100000,44,4
"216",2016-09-23,2017-12-22,4500,14,2
"217",2018-03-26,2019-05-31,5000.01,14,2
"218",2019-06-12,2021-03-31,90000,21,2
"219",2020-05-01,2022-04-30,435286.82,23,2
"220",2019-01-09,2022-02-28,427312,37,4
"221",2018-10-17,2018-10-21,6375,0,1
"222",2020-08-05,2020-11-15,25000,3,1
"223",2016-08-23,2017-11-19,16298.35,14,2
"225",2016-09-05,2017-03-31,9600,6,1
"226",2017-10-20,2018-05-31,12500,7,1
"227",2018-01-01,2020-12-31,80000,35,3
"228",2017-04-01,2018-09-30,266538.2,17,2
"229",2018-03-01,2019-02-28,221000,11,1
"230",2020-08-18,2022-06-30,78000,22,2
"231",2018-06-29,2019-01-31,5000.01,7,1
"232",2017-11-29,2018-06-30,6250.01,7,1
"233",2017-08-11,2018-03-31,39533.35,7,1
"234",2020-09-01,2021-09-03,10000,12,1
"235",2019-12-11,2021-03-10,1500,14,2
"236",2019-07-10,2021-05-10,147232.95,22,2
"237",2015-05-06,2016-05-31,49726.26,12,1
"238",2016-03-29,2016-05-02,5000,1,1
"239",2017-08-01,2020-12-31,518231.4,40,4
"240",2016-07-01,2018-06-30,5e+05,23,2
"241",2020-12-07,2021-03-31,12311,3,1
"242",2017-12-06,2021-10-31,122800,46,4
"243",2019-04-23,2020-12-15,32943.96,19,2
"244",2016-01-12,2019-11-30,761943.84,46,4
"245",2016-12-30,2017-05-31,5000.01,5,1
"246",2018-10-01,2022-05-31,1e+06,43,4
"247",2019-05-01,2022-04-30,174650,35,3
"248",2018-12-03,2019-02-28,6250.01,2,1
"249",2018-06-18,2019-08-21,150000,14,2
"250",2017-08-07,2018-12-31,2888503.77,16,2
"251",2017-07-01,2018-04-30,10000,9,1
"252",2018-11-01,2022-04-30,1451711.49,41,4
"253",2016-08-16,2017-06-30,432270,10,1
"254",2015-01-06,2018-04-30,638843.75,39,4
"255",2017-07-03,2018-02-08,9122.55,7,1
"256",2017-06-29,2018-04-30,5000.01,10,1
"257",2018-03-05,2018-06-30,3100,3,1
"258",2019-02-28,2019-10-11,7500,7,1
"259",2016-03-21,2018-01-31,19867.39,22,2
"260",2019-12-20,2020-07-19,40000,6,1
"261",2015-12-21,2016-05-31,5000.01,5,1
"262",2017-01-05,2019-04-30,264228.73,27,3
"263",2019-11-01,2022-04-30,928982.94,29,3
"264",2015-06-22,2017-01-31,5000.01,19,2
"265",2016-09-27,2017-12-31,61657.35,15,2
"266",2019-04-02,2021-07-31,560019.66,27,3
"267",2020-06-01,2020-08-31,35809.68,2,1
"268",2018-06-01,2018-08-10,11483.5,2,1
"269",2019-07-17,2022-06-30,857062.99,35,3
"270",2018-01-20,2018-01-28,2076,0,1
"271",2016-09-13,2017-09-30,199888.47,12,1
"272",2016-10-05,2018-03-14,1980,17,2
"273",2019-02-15,2020-04-27,62500.01,14,2
"274",2021-01-01,2022-06-30,99096,17,2
"275",2014-01-12,2016-11-30,176829.35,34,3
"276",2016-09-20,2022-12-31,167199.39,75,7
"277",2019-07-05,2021-11-30,908569.92,28,3
"278",2018-03-02,2018-03-04,1390,0,1
"279",2020-12-01,2023-06-30,695092.78,30,3
"280",2016-12-01,2020-03-31,409156.53,39,4
"281",2020-07-20,2021-09-25,62500.01,14,2
"282",2016-06-27,2016-10-09,6000,3,1
"283",2018-04-01,2021-03-31,397274.53,35,3
"284",2017-08-11,2018-11-30,13153.76,15,2
"285",2019-06-13,2021-04-30,62500.01,22,2
"286",2016-03-01,2019-02-28,187720,35,3
"287",2018-12-15,2019-09-30,11259.58,9,1
"288",2019-07-05,2020-01-14,7500,6,1
"289",2017-08-10,2018-04-30,26989.2,8,1
"290",2017-10-16,2020-10-15,247972.33,35,3
"291",2020-02-11,2020-12-08,4000,9,1
"292",2018-06-11,2018-06-15,2500,0,1
"293",2017-03-09,2019-06-30,3140365.19,27,3
"294",2019-05-07,2019-05-09,3000,0,1
"295",2018-11-15,2019-03-07,40000,3,1
"296",2016-05-02,2018-04-30,303731.24,23,2
"297",2018-12-21,2021-12-31,118952.4,36,3
"298",2016-05-13,2017-06-15,21225.01,13,2
"299",2017-03-01,2017-12-31,46800,9,1
"301",2018-04-13,2018-10-31,5500,6,1
"302",2016-04-01,2017-04-29,17656.04,12,1
"303",2019-04-05,2019-12-31,33448.83,8,1
"304",2016-11-16,2019-07-31,191843.9,32,3
"305",2016-09-19,2017-08-31,3125,11,1
"306",2018-01-08,2020-01-17,25000,24,2
"307",2020-07-01,2022-12-31,433862.5,29,3
"308",2017-11-12,2018-04-30,6250.01,5,1
"309",2018-01-17,2018-05-31,6250.01,4,1
"310",2015-12-28,2016-06-13,16843.54,5,1
"311",2021-01-01,2022-06-30,176442.5,17,2
"312",2019-10-15,2021-10-14,26960,23,2
"313",2014-08-01,2015-07-31,5000.01,11,1
"314",2015-04-05,2016-05-31,142397.5,13,2
"315",2020-03-01,2022-02-28,292312.46,23,2
"316",2017-07-26,2021-12-31,2489000,53,5
"317",2016-07-01,2018-06-30,158607.99,23,2
"318",2018-04-23,2019-01-17,5500,8,1
"319",2018-05-07,2019-07-30,63450,14,2
"320",2015-11-01,2018-10-31,278661.25,35,3
"321",2017-12-01,2020-05-31,494435.27,29,3
"322",2018-01-01,2019-12-31,433800,23,2
"323",2016-12-14,2017-11-15,246010.38,11,1
"324",2015-12-28,2016-12-31,35485.32,12,1
"325",2018-02-22,2020-02-21,183355.85,23,2
"326",2018-03-26,2019-05-31,5000.01,14,2
"327",2017-08-14,2020-02-29,49711.25,30,3
"328",2019-01-10,2021-12-31,133333.34,35,3
"329",2015-07-13,2016-03-15,7154.4,8,1
"330",2021-02-19,2021-08-19,25000,6,1
"331",2017-01-07,2017-09-30,12237.51,8,1
"332",2016-06-30,2017-08-31,538665.34,14,2
"333",2019-07-01,2022-06-30,440145.6,35,3
"334",2017-11-10,2018-08-31,5000.01,9,1
"335",2015-08-01,2018-08-31,760000,36,3
"336",2017-11-10,2018-06-28,7500,7,1
"337",2020-02-20,2021-12-19,2500,21,2
"338",2017-08-15,2020-11-14,184827.03,38,4
"339",2020-04-28,2021-12-31,3e+06,20,2
"340",2015-04-02,2018-07-02,2247000,39,4
"341",2019-01-01,2019-08-31,45167.5,7,1
"342",2015-12-21,2018-01-31,393600,25,3
"343",2017-10-01,2020-12-31,909086.2,38,4
"344",2018-02-11,2019-05-31,5000,15,2
"345",2015-06-07,2016-05-31,6250.01,11,1
"346",2017-03-01,2017-05-30,9929,2,1
"347",2018-01-29,2018-09-30,5000.01,8,1
"348",2017-12-14,2018-08-31,6250.01,8,1
"350",2016-01-28,2016-07-10,5142,5,1
"351",2018-06-01,2020-05-31,198396,23,2
"352",2020-12-08,2021-08-31,75542,8,1
"353",2017-09-13,2017-12-16,4246.53,3,1
"354",2019-08-15,2023-12-15,595000,52,5
"355",2019-11-01,2022-10-31,344200,35,3
"356",2018-03-29,2019-06-30,5000.01,15,2
"357",2017-10-25,2018-07-31,6250.01,9,1
"358",2014-04-14,2015-04-30,5000.01,12,1
"359",2017-07-20,2017-11-30,6250,4,1
"360",2018-09-01,2021-08-31,8000,35,3
"361",2020-09-01,2022-08-31,556912.5,23,2
"362",2017-05-03,2020-09-30,377953.78,40,4
"363",2015-11-30,2016-06-29,5380,6,1
"364",2018-11-27,2019-04-30,5000,5,1
"365",2015-07-03,2017-05-31,77300,22,2
"366",2019-09-01,2022-08-31,1816990,35,3
"367",2014-11-16,2016-12-31,770426.77,25,3
"368",2018-10-29,2019-12-28,7061.26,13,2
"369",2016-09-26,2016-11-15,6250.01,1,1
"370",2016-04-21,2017-05-31,10000,13,2
"371",2017-10-02,2020-10-01,7000,35,3
"372",2020-10-05,2021-11-30,99138,13,2
"373",2019-09-01,2022-08-31,2347500,35,3
"374",2019-04-17,2019-11-29,66296,7,1
"375",2018-05-06,2019-06-30,16333.66,13,2
"376",2019-03-01,2022-02-28,707960,35,3
"377",2020-03-17,2020-06-30,56525,3,1
"378",2019-10-09,2020-06-11,31344.51,8,1
"379",2016-08-03,2023-10-31,79317.8,86,8
"380",2019-07-25,2020-10-31,33120,15,2
"381",2019-04-29,2020-04-20,5000,11,1
"382",2019-10-28,2021-06-30,23337.5,20,2
"383",2019-11-30,2020-07-30,14135.85,8,1
"384",2016-11-01,2017-09-30,46500,10,1
"385",2014-04-12,2015-04-30,5000.01,12,1
"386",2016-03-17,2017-01-23,6250.01,10,1
"387",2015-08-18,2016-09-30,69926.32,13,2
"388",2018-02-22,2018-08-15,44141.5,5,1
"389",2016-04-27,2019-03-30,329672.99,35,3
"390",2017-05-02,2018-11-30,77053.85,18,2
"391",2016-02-10,2016-04-10,13000,2,1
"392",2019-02-21,2019-02-24,12240,0,1
"393",2016-11-29,2017-06-30,5000.01,7,1
"394",2019-08-01,2019-07-17,5000,0,1
"395",2015-09-30,2016-04-30,5000.01,7,1
"397",2016-09-01,2017-10-31,251065,13,2
"398",2017-01-27,2018-04-30,6250.01,15,2
"399",2016-07-15,2016-12-31,196687.27,5,1
"400",2016-03-14,2016-12-31,49303.39,9,1
"401",2014-01-01,2015-11-30,630000,22,2
"402",2018-01-01,2020-11-30,447136.57,34,3
"403",2018-11-01,2018-04-03,4000,-6,1
"404",2020-07-15,2021-10-30,18562.51,15,2
"405",2017-02-10,2017-05-19,7428.89,3,1
"406",2021-02-02,2022-05-30,8710.94,15,2
"407",2017-05-22,2018-03-31,57031.84,10,1
"408",2014-08-25,2018-07-27,725000,47,4
"409",2018-12-12,2020-08-11,82800,19,2
"410",2016-02-06,2017-09-30,4267.51,19,2
"411",2020-03-01,2022-06-30,176470.59,27,3
"412",2018-01-25,2019-06-30,60862.55,17,2
"413",2018-11-01,2021-10-31,331031.25,35,3
"414",2018-04-01,2020-01-31,930000,21,2
"415",2021-03-01,2022-07-31,185246.44,16,2
"416",2017-09-27,2019-07-31,287980,22,2
"417",2021-01-05,2021-10-31,24437.5,9,1
"418",2017-04-24,2018-12-31,239591.62,20,2
"419",2018-11-14,2019-05-31,5000,6,1
"420",2018-10-09,2019-03-31,5000,5,1
"421",2018-03-08,2020-04-30,458613.17,25,3
"422",2017-10-19,2021-01-15,369698.44,38,4
"423",2019-07-09,2022-12-31,1328681.63,41,4
"424",2019-05-01,2022-04-30,432474.8,35,3
"425",2015-12-01,2019-02-28,496537.91,38,4
"426",2019-01-01,2021-12-31,452513.5,35,3
"427",2019-10-04,2021-03-05,6000,17,2
"428",2016-01-30,2016-03-15,13000,1,1
"429",2016-07-18,2018-02-17,933988.26,18,2
"430",2016-12-08,2017-01-18,5000,1,1
"431",2015-06-10,2017-01-31,5000.01,19,2
"432",2020-07-27,2021-12-31,263880.87,17,2
"433",2020-09-19,2021-05-31,39969.69,8,1
"434",2019-01-03,2019-07-31,73892.39,6,1
"435",2015-11-06,2016-09-01,9341.52,9,1
"436",2019-12-30,2021-03-31,102762.5,15,2
"437",2016-01-01,2022-06-30,2734340.94,77,7
"438",2019-12-30,2020-11-30,20000,11,1
"439",2017-07-17,2020-07-16,7000,35,3
"440",2018-01-11,2019-04-30,5000,15,2
"441",2018-03-09,2019-04-30,25512.55,13,2
"442",2016-03-17,2017-01-31,5000.01,10,1
"443",2020-02-19,2021-02-28,32726.28,12,1
"444",2019-12-16,2020-04-20,14833.02,4,1
"445",2017-09-01,2020-08-31,7000,35,3
"446",2020-08-29,2022-12-02,123250.01,27,3
"447",2017-09-08,2018-04-30,5000.01,7,1
"448",2018-03-23,2018-07-31,5000.01,4,1
"449",2016-03-22,2017-02-28,3750.01,11,1
"450",2015-09-10,2017-01-31,5000.01,16,2
"451",2016-06-01,2021-07-31,506848.9,61,6
"452",2019-07-02,2020-03-27,5000,8,1
"453",2019-10-01,2022-09-30,198590,35,3
"454",2016-04-01,2020-02-29,384287.26,46,4
"455",2017-08-04,2018-03-31,151960,7,1
"456",2016-08-24,2017-03-31,6250.01,7,1
"457",2018-04-01,2021-03-31,269313.75,35,3
"458",2017-03-01,2018-12-31,334494.53,21,2
"459",2019-10-01,2019-07-30,6250,-2,1
"460",2016-10-28,2017-05-31,12518,7,1
"461",2020-12-10,2021-11-30,6905834.08,11,1
"462",2018-07-01,2020-06-30,32952.5,23,2
"463",2017-08-15,2018-11-14,3900,14,2
"464",2021-04-15,2021-03-09,25000,-1,1
"465",2019-12-23,2020-07-31,38349.99,7,1
"466",2016-03-18,2017-02-08,5000.01,10,1
"467",2020-09-01,2022-08-31,117652.66,23,2
"468",2017-02-13,2017-10-31,340000,8,1
"469",2020-01-27,2021-04-05,20000,14,2
"470",2020-04-23,2021-06-22,14927.53,13,2
"471",2017-09-28,2018-12-15,69952.57,14,2
"472",2017-03-01,2019-07-18,525000,28,3
"473",2017-09-20,2019-01-31,5000.01,16,2
"474",2016-01-08,2018-06-08,264171.25,29,3
"475",2017-02-11,2017-02-19,1388,0,1
"476",2020-05-01,2022-06-30,835032.69,25,3
"477",2018-10-22,2019-03-21,7500,4,1
"479",2020-07-15,2023-06-30,9938993.63,35,3
"480",2017-12-01,2019-12-15,211264.05,24,2
"481",2019-01-02,2019-04-15,9375,3,1
"482",2020-09-29,2022-06-30,285576.67,21,2
"483",2020-01-01,2021-09-30,331000,20,2
"484",2018-06-29,2019-07-31,5000.01,13,2
"485",2016-12-15,2018-12-31,205766.89,24,2
"486",2021-08-02,2022-09-30,12600,13,2
"487",2018-10-09,2019-04-30,5000,6,1
"488",2020-03-01,2022-05-31,580475.28,26,3
"489",2019-01-04,2021-12-31,1200000,35,3
"490",2020-11-15,2022-01-14,178563.74,13,2
"491",2018-01-07,2021-09-30,685222.5,44,4
"492",2017-07-24,2018-04-30,6250.01,9,1
"493",2016-07-01,2019-06-30,748800,35,3
"494",2017-01-02,2021-02-28,656761,49,5
"495",2016-08-18,2021-10-31,132391.13,62,6
"496",2016-04-19,2016-09-02,39976.95,4,1
"497",2020-12-14,2021-12-31,99926.75,12,1
"498",2016-03-04,2017-12-30,901496,21,2
"499",2019-11-26,2020-09-30,62500.01,10,1
"500",2014-01-01,2020-12-31,1393795.2,83,7
"501",2019-02-01,2021-07-31,237890.61,29,3
"502",2018-01-08,2020-01-31,247150.63,24,2
"503",2020-06-15,2022-02-28,76200,20,2
"504",2021-03-23,2022-06-28,5000,15,2
"505",2018-01-15,2020-01-14,19000,23,2
"506",2019-10-10,2019-10-13,1870,0,1
"507",2017-05-18,2022-12-31,5777343.75,67,6
"508",2018-09-01,2019-07-30,16780,10,1
"509",2017-05-03,2019-10-31,84312.75,29,3
"510",2015-12-14,2016-04-23,4210.62,4,1
"511",2020-06-15,2022-06-14,205000,23,2
"512",2017-12-06,2020-09-30,1665383,33,3
"513",2020-01-21,2020-10-27,51684.34,9,1
"514",2019-07-22,2021-09-30,164716.34,26,3
"515",2019-10-01,2020-10-31,50625,12,1
"516",2016-01-23,2016-01-31,3840,0,1
"517",2019-01-07,2021-06-30,666619.99,29,3
"518",2018-07-24,2022-01-23,344575,41,4
"519",2019-12-11,2021-07-30,5714,19,2
"520",2020-11-20,2021-08-29,7262.51,9,1
"521",2020-11-17,2022-01-15,3250.01,13,2
"522",2016-01-14,2016-06-30,5000.01,5,1
"523",2019-03-12,2020-03-11,3978.2,11,1
"524",2015-10-28,2016-04-06,11896.08,5,1
"525",2018-04-17,2019-07-16,4500,14,2
"526",2017-05-23,2019-01-31,16430,20,2
"527",2020-05-01,2022-07-30,204054.56,26,3
"528",2018-05-01,2021-04-30,221200.2,35,3
"529",2019-11-10,2021-07-29,5000,20,2
"530",2019-06-17,2019-11-26,7423.41,5,1
"531",2019-07-01,2021-12-31,98532.19,29,3
"532",2017-04-27,2019-04-30,36790.49,24,2
"533",2016-03-01,2019-02-28,1773567.2,35,3
"534",2020-09-01,2022-07-31,459395.92,22,2
"535",2014-10-16,2015-04-30,5000.01,6,1
"536",2015-09-01,2016-06-30,72004.5,9,1
"537",2016-10-14,2019-04-30,239200,30,3
"538",2015-01-03,2018-06-03,288651.25,41,4
"539",2017-05-15,2020-04-30,207624.44,35,3
"540",2019-05-17,2020-02-29,16890.97,9,1
"541",2018-04-01,2018-12-31,1303592.5,8,1
"542",2018-07-24,2018-07-28,2970,0,1
"543",2017-06-27,2018-03-31,6250.01,9,1
"544",2019-04-01,2022-06-30,2e+05,38,4
"545",2020-02-12,2021-10-30,53628.91,20,2
"546",2015-03-07,2016-01-31,5000.01,10,1
"547",2016-10-10,2017-11-09,297360,12,1
"548",2016-03-01,2019-02-28,536513.25,35,3
"549",2018-12-19,2019-12-31,974330.86,12,1
"550",2019-01-07,2022-04-30,714750,39,4
"551",2020-02-28,2021-04-27,20865.63,13,2
"552",2016-09-01,2017-10-31,26708.04,13,2
"553",2020-10-23,2021-09-30,32662.51,11,1
"554",2019-05-27,2020-07-26,20516.2,13,2
"555",2016-10-01,2018-12-31,57050,26,3
"556",2019-05-07,2020-10-31,1737500,17,2
"557",2015-08-10,2016-04-29,5000.01,8,1
"558",2016-02-11,2016-09-29,6000,7,1
"559",2019-07-03,2020-01-14,7500,6,1
"560",2018-09-19,2019-04-30,30000,7,1
"561",2016-12-23,2021-06-30,1214527,54,5
